artist,song_title,use,show
Jagwar-Twin,Loser,0:06The Salvatore students from the football team and Hope arrive into town for their punishment to clean up the town; Lizzie gets into a fight with Josie then makes her stance against cleaning.,Legacies • S1E37 Nov 20182
Smooth-Jaws,All I Want From You,0:26Maya and Andy follow the sound of injured hiker Clark's music to find him.,Station 19 • S2E67 Nov 20181
Jason-Zerbin-De-Lune,Out Of The Dark,"0:56Andy and Sullivan final have a talk about her yelling at him, then he asks for a chance to talk with her over coffee; Ryan sits by his father's hospital bed; Ben moves in with Dean and Jack, then the three go running together.",Station 19 • S2E67 Nov 20181
I-Am-ORFA, Do Yea Do (We Comes Together),0:48Nancy goes through an open door and comes across Ryan kissing Lucy's ghost.,Nancy Drew • S1E612 Nov 20190
I-Am-ORFA,Own It,0:45Alison asks Zach if he's seen Ava or Dylan.,Pretty Little Liars: The Perfectionists • S1E623 Apr 20190
I-Am-ORFA,On The Brink,"0:16Josie and Lizzie show Rafael the Wickery field, the school's alternative to Quidditch.",Legacies • S1E231 Oct 20181
Second-Coming,Unknown Rider,0:44Cole’s mother hears him screaming upstairs and finds him locked behind the room.,The Sixth Sense6 Aug 19990
Colorado-String-Quartet,"Piano Quintet in A Major, D. 667, ""The Trout"": II. Andante",1:04Anna helps a couple buy a ring at the jewelry store.,The Sixth Sense6 Aug 19990
Say-So,Mary Be Merry,,Dawson's Creek • S2E320 Oct 19980
Say-So,Stand By Me,,Dawson's Creek • S1E49 Feb 19980
Say-So,Mercy Me,,Dawson's Creek • S1E119 Jan 19980
Nowhere-Blossoms,Cinnamon Waits,,Dawson's Creek • S2E610 Nov 19980
Nowhere-Blossoms,Swallow,,Dawson's Creek • S2E16 Oct 19980
Nowhere-Blossoms,I'm Not Sleeping,,Dawson's Creek • S1E916 Mar 19980
Nowhere-Blossoms,Am I Cool,,Dawson's Creek • S1E226 Jan 19980
Sarah-Masen,Flames of Truth,,Dawson's Creek • S1E226 Jan 19980
Gina-G,Ooh Ahh... Just a Little Bit (Re-record),,Dawson's Creek • S1E226 Jan 19980
Paul-Chiten,Pretty Strange (feat. Allure of Souls),,Dawson's Creek • S1E226 Jan 19980
Billie-Myers,Kiss the Rain,,Dawson's Creek • S2E213 Oct 19980
Billie-Myers,First Time,,Dawson's Creek • S1E32 Feb 19980
The-Slugs,Requiem For A Lightweight,"0:07Warren Gary, a popular football player and senior offers Joey a ride.",Dawson's Creek • S1E916 Mar 19980
The-Slugs,We'll Get Through,,Dawson's Creek • S1E89 Mar 19980
The-Slugs,Kingdom,,Dawson's Creek • S1E32 Feb 19980
Wake-Ooloo,Too Many Times,,Dawson's Creek • S1E32 Feb 19980
Tanya-Donelly,Pretty Deep,,Dawson's Creek • S1E32 Feb 19980
Tom-Snow,That's What Love Can Do,,Dawson's Creek • S1E49 Feb 19980
Andrew-Dorff,Insecuriosity,,Dawson's Creek • S1E623 Feb 19980
Beth-Nielsen-Chapman,Wait For the Way,,Dawson's Creek • S2E1516 Feb 19990
Beth-Nielsen-Chapman,Say Goodnight,,Dawson's Creek • S1E1318 May 19980
Beth-Nielsen-Chapman,Seven Shades of Blue,,Dawson's Creek • S1E623 Feb 19980
Chickenpox,Truth of Our Time,,Dawson's Creek • S2E162 Mar 19990
Chickenpox,Anything You Say,,Dawson's Creek • S2E320 Oct 19980
Chickenpox,Pretty Face,,Dawson's Creek • S1E1211 May 19980
Chickenpox,Stupid,"0:03Panoramic view of Capeside High. Cut to the school hallways, bell rings, students rush to class. Abby Motgan is late, and drops her belogings on the floor before interrupting Joey's presentation.",Dawson's Creek • S1E72 Mar 19980
Colony,Breathe,,Dawson's Creek • S2E427 Oct 19980
Colony,Saturday,"After Abby tells her ""reason for being in detention, the group finds itself bored trying to figure out how to pass the time. They discuss movies, in particular ""The breakfast club"" which inspired this episode.",Dawson's Creek • S1E72 Mar 19980
Colony,A Lot Like You,,Dawson's Creek • S1E72 Mar 19980
Cush,Being Right,,Dawson's Creek • S1E89 Mar 19980
blink-182,Adam's Song,,Ma vie avec John F. Donovan28 Feb 20190
blink-182,All the Small Things,Opening credits. Zak rides his bike around town.,Clockstoppers28 Mar 20020
blink-182,Dammit,0:25Beach party at Cliff's house. ,Dawson's Creek • S1E89 Mar 19980
Days-of-the-New,"Touch, Peel and Stand",,Dawson's Creek • S1E916 Mar 19980
Space-Monkeys,We Are the Supercool,"Dawson, Billy and Pacey are on a barge during their roadtrip. Dawson comes up with an ingenious way to teach a couple of disorderly guys a lesson.",Dawson's Creek • S1E916 Mar 19980
Super-Deluxe,Your Pleasure's Mine,"0:20Dawson, Billy and Pacey are on a barge during their roadtrip. Dawson comes up with an ingenious way to teach a couple of disorderly guys a lesson.",Dawson's Creek • S1E916 Mar 19980
Boom-Hank,Carry Me,,Dawson's Creek • S1E916 Mar 19980
Judge-Nothing,Nashville,,Dawson's Creek • S1E916 Mar 19980
Judge-Nothing,Monkey Mind,,Dawson's Creek • S1E916 Mar 19980
Shelby-Craft,What's Goin' On,,Dawson's Creek • S1E1027 Apr 19980
Mary-Thornton-and-Adam-Castillo,Do You Dream?,,Dawson's Creek • S1E114 May 19980
The-Tea-Party,Gone,,Dawson's Creek • S3E716 Nov 19990
The-Tea-Party,Temptation,,Dawson's Creek • S1E114 May 19980
Dog-s-Eye-View,What Do You Do?,,Dawson's Creek • S1E1318 May 19980
Melodie-Crittenden,Broken Road,,Dawson's Creek • S1E1318 May 19980
Phish,Run Like an Antelope,,Dave • S1E310 Mar 20200
Phish,Bouncing Around the Room,"0:12Stacey goes after Gert and Dale, until Old Lace intervenes.",Runaways • S3E212 Dec 20190
Phish,Wading In the Velvet Sea,,High Maintenance • S3E32 Feb 20190
Phish,Birds of a Feather,,Dawson's Creek • S2E16 Oct 19980
Aryana,GOOD INTENTIONS,,Dawson's Creek • S2E213 Oct 19980
Aryana,DEAR MARY,,Dawson's Creek • S2E213 Oct 19980
Feeding-Like-Butterflies,Killers,,Dawson's Creek • S2E213 Oct 19980
The-Sterlings,Always,,Dawson's Creek • S2E213 Oct 19980
The-MacAnanys,Luckiest Guy,,Dawson's Creek • S2E213 Oct 19980
Sozzi,Letting Go,,Dawson's Creek • S2E2225 May 19990
Sozzi,Four Eyes,,Dawson's Creek • S2E320 Oct 19980
Newsboys,Whoohoo,,Dawson's Creek • S2E320 Oct 19980
Zoe,Half As Good,,Dawson's Creek • S2E427 Oct 19980
Grammatrain,Sell Your Soul,,Dawson's Creek • S2E2118 May 19990
Grammatrain,Less of Me,,Dawson's Creek • S2E610 Nov 19980
Wine-Field,Man On A Mast,,Dawson's Creek • S2E610 Nov 19980
Bob-Mair,Push Me Over,,Dawson's Creek • S2E717 Nov 19980
Dana-Mase,Sitting With an Angel,,Dawson's Creek • S2E824 Nov 19980
Shooter,Life's a Bitch,,Dawson's Creek • S2E1119 Jan 19990
Shooter,This Is Who I Am,,Dawson's Creek • S2E824 Nov 19980
Morley,Slingshots,,Dawson's Creek • S2E915 Dec 19980
Tia-Texada,Driving You Crazy,,Dawson's Creek • S2E1012 Jan 19990
Mackeel,Heaved Away,,Dawson's Creek • S2E1226 Jan 19990
Moxie,Just Like Me,,Dawson's Creek • S6E415 Oct 20020
Moxie,In My Room,,Dawson's Creek • S5E1115 Jan 20020
Moxie,Sorry,,Dawson's Creek • S4E424 Oct 20000
Moxie,Suburbia,,Dawson's Creek • S2E1226 Jan 19990
Binge,The First Time,,Dawson's Creek • S5E323 Oct 20010
Binge,Surrounded,,Dawson's Creek • S2E2011 May 19990
Binge,My Door Is Always Open,,Dawson's Creek • S2E1226 Jan 19990
Far-Too-Jones,Best of Me,,Dawson's Creek • S2E1226 Jan 19990
Jowaa,Banku Dade,"0:05Accra, Ghana - The team arrives to start their retrieval mission.",MacGyver • S3E78 Nov 20180
Sun-Heat,Let's Get Started,0:23Alice arrives to find Sumi and Lindsay flirting then announces that she and Lindsay are going on tour together; Lindsay and Sumi both ask Alice about ask the other out.,Good Trouble • S2E1114 Jan 20200
Sun-Heat,Running Out of Time,"0:55Gabriel hears that Annalise has meet someone on Sam's tapes; Michelle finds Solomon at a bar and meets his him; Asher finds out his sister is Lindsey; Tegan calls her wife, Cora; Bonnie and Nate argue over whether Tegan is lying to them; Annalise gets text from Robert when Gabriel arrives and confront her about manipulating Sam; Frank is dropped off on Bonnie doorstep.",How to Get Away With Murder • S6E416 Oct 20190
Sun-Heat,Feeling Good,,The Rookie • S2E25 Oct 20190
Sun-Heat,Set Me Free,0:58Parker explains to Maggie why he thinks his father gave him a demonic infection; Alistair rescues Charity as she's being taken to Tartarus.,Charmed • S1E1623 Mar 20190
Sun-Heat,Running Out of Time,,Good Trouble • S1E54 Feb 20190
Sun-Heat,Running Out of Time,0:57Alexis has another psychic consultation; Claudia berates Hank for failing then says they're going to try things her way; Alexis is told about a future husband.,Dynasty • S2E58 Nov 20180
Raveena,Temptation,,On My Block • S3E410 Mar 20200
Raveena,Stronger,,On My Block • S3E510 Mar 20200
Raveena,Sweet Time,"0:01Angie and Tex have an afternoon tryst, then she confirms they're both on the same page about a casual relationship.",Private Eyes • S3E1130 Jul 20190
Raveena,No Better,0:54Matt and Angie talk about their exes and what they want in a future relationship; Don arrives just as Angie and Matt are about to kiss.,Private Eyes • S3E916 Jul 20190
Raveena,Spell,,Good Trouble • S1E214 Jan 20190
Raveena,No Better,"0:08While they have dinner, Nico tells Mel that Trip had found out something related to her mother's death.",Charmed • S1E510 Nov 20180
Raveena,No Better,0:02Fiji lies in bed watching Bobo in the shower and imagines the two of them having sex; Bobo slips on soap in the shower and ends up injured.,"Midnight, Texas • S2E38 Nov 20181"
Aaron-Watson,Angels & Outlaws,0:1610 Years Earlier - Reverend Sheehan's tiger form attacks a guy changing a flat tire.,"Midnight, Texas • S2E38 Nov 20180"
Nick-Moss-Band,From the Root to the Fruit,"0:23While bartending, Bob recieves a call from Fiji telling him that Manfred is going to help her contact her Aunt Mildred; Olivia and Madonna meet up for drinks and girl talk.","Midnight, Texas • S2E38 Nov 20180"
Track-Team-Dropouts,Pure Gold,0:35Dylan checks if Andrew picked up his ticket for the fashion show; Dylan and Mona leave to get Mason's phone.,Pretty Little Liars: The Perfectionists • S1E623 Apr 20190
Track-Team-Dropouts,Left Right Left,0:08.....,9-1-1 • S2E1224 Mar 20190
Track-Team-Dropouts,Left Right Left,"0:05Montage of Ryn, Maddie and Ben finding the mermaids a new place to live and getting them IDs.",Siren • S2E413 Feb 20190
Track-Team-Dropouts,Left Right Left,0:32Montage of Walker and Joe taking out a group of demons.,"Midnight, Texas • S2E38 Nov 20181"
Ben-Caver,Long Live The King,0:01The team finally starts working together and winning games.,All American • S1E46 Nov 20180
Alex-Theodore-Bradley-Ty-Noam-Frankel-Gerald-Pizzarelli,Roll With It,0:22Layla wins a round of poker and challenges him to go skinny dipping with Olivia.,All American • S1E46 Nov 20180
Jacob-Quetant,Get Cha Dance On,0:29Asher puts in a Dare Chip and JJ demands a spin in his father's Porsche.,All American • S1E46 Nov 20180
Efajemue-Etoroma-Jr,Good News,0:31Laura thanks her guests for coming and supporting her run for D,All American • S1E46 Nov 20180
Franck-Sarkissian,Feel My Love,0:32Laura thanks her guests for coming and supporting her run for D,All American • S1E46 Nov 20180
THEUNDER,Body Bounce,"0:33JJ and Asher return with the Porsche, then Layla suggests the game is getting out of hand.",All American • S1E46 Nov 20180
The-Cheeksters,How Do You Feel Now,"0:42Spencer goes to the barbershop to talk to Coop about the missing Porsche, then she tells him to talk to Shawn.",All American • S1E46 Nov 20180
John-Pregler-Bernard-Perry-II,All Out War ,,All American • S1E46 Nov 20180
Fr_d_ric-Le-Quere,Summer Dance,,All American • S1E46 Nov 20180
National-Philharmonic-Orchestra-Luciano-Pavarotti-and-Giuseppe-Patane,"Pagliacci: ""Recitar!"" - ""Vesti la Giubba""",0:08Stanley Ipkiss arrives at the auto repair shop to pick up his Honda Civic.,The Mask28 Jul 19940
Lena-Fiagbe,Sweet Baby,Trailer song,Life After Beth14 Aug 20140
G-Small-F-Gerard,Sidney Samsonite,http://www.trxmusic.com/,Show Dogs17 May 20180
Larry-Bamburg-and-the-Louisiana-Drifters,Careless Loving,"0:04Julius gathers up the glasses, then Frankie comments on how hard he's working; Flesh shows up at the bar after hours looking for a drink.",Van Helsing • S3E68 Nov 20180
Ricky-Reed,Good Vibrations,,The Emoji Movie28 Jul 20170
Ricky-Reed,Good Vibrations,,The Emoji Movie28 Jul 20170
Christina-Macpherson-and-Banjo-Paterson,Waltzing Matilda,,The Emoji Movie28 Jul 20170
The-Lazerbeams,Squares And Circles,,The Emoji Movie28 Jul 20170
Heavy,Narcotica,,The Emoji Movie28 Jul 20170
PIKOTARO,PPAP(Pen-Pineapple-Apple-Pen),,The Emoji Movie28 Jul 20170
Plastic-People,Marry Me Someday,,The Emoji Movie28 Jul 20170
Omi,Cheerleader (Felix Jaehn Remix),,The Emoji Movie28 Jul 20170
Wolfgang-Amadeus-Mozart-and-Emanuel-Schikaneder,"""The Magic Flute: Queen of the Night"" K. 620",,The Emoji Movie28 Jul 20170
Silento,Watch Me (Whip / Nae Nae),,Upload • S1E730 Apr 20200
Silento,Watch Me (Whip / Nae Nae),,The Emoji Movie28 Jul 20170
Mikkel-Eriksen-Sia-Furler-Tor-Hermansen-and-Benjamin-Levin,Diamonds,,The Emoji Movie28 Jul 20170
Al-Gross-and-Pete-Surdoval,Secret Crush On You,,Monster29 Nov 20030
Ivory-Circle,Fading Out,"0:46The sisters prepare for the spell to rewrite history; Harry urges Mel to say goodbye to Nico; Mel freezes Nico and declares her love, as Macy and Maggie start the spell.",Charmed • S1E510 Nov 20181
Farveblind,Jewels,,The Girl in the Spider's Web8 Nov 20180
Enemigo,Theta,,The Girl in the Spider's Web8 Nov 20180
Adam-Beyer-and-Ida-Engberg,Virga,,The Girl in the Spider's Web8 Nov 20180
Black-Hole-Empire-Noisia,Hideous (SeamlessR & Shaun Law Remix),,The Girl in the Spider's Web8 Nov 20180
Geoff-and-Maria-Muldaur,Brazil,0:07Montage of the Grinch’s “emotional eating”.,Dr. Seuss' The Grinch8 Nov 20181
Pentonix,God Rest Ye Merry Gentlemen,0:09The Who carolers sing this song as they follow the Grinch around town.,Dr. Seuss' The Grinch8 Nov 20181
Pan-Sonic,Haiti,,Beautiful Boy8 Nov 20180
Pan-Sonic,Haiti,0:36David goes to Nic’s room and looks at Nic’s drawings and writings. David drives to The New York Times and asks a writer there about crystal meth. David meets an addict and the streets and takes her to a diner.,Beautiful Boy8 Nov 20180
Pan-Sonic,Puhua V2,0:54David gets a call that his son is at the hospital.,Beautiful Boy8 Nov 20180
Pavlov-s-Dog,Of Once and Future Kings,,Beautiful Boy8 Nov 20180
Pavlov-s-Dog,Of Once and Future Kings,1:33Karen chases Nic and Lauren in their car.,Beautiful Boy8 Nov 20181
Stige,PSA (As Heard in Kidding),Final song at the house party.,Kidding • S1E1010 Nov 20180
Valentin-Hadjadj,Flying,,Girl15 Nov 20180
