artist,song_title,use,show
Anthony-Henderson-Oscar-Salinas-Juan-Salinas-and-Hakeem-Seriki,Ridin',,Superfly12 Jun 20180
The-Spinanes,Azure,,Tully3 May 20180
Ronnie-Foster,Mystic Brew,"0:22Montage of Ernie doing stuff at his apartment, then phoning Connie.",Lodge 49 • S1E15 Aug 20181
Ronnie-Foster,Mystic Brew,,Tully3 May 20180
Jack-de-Mello-s-All-Star-Hawaiian-Band,Lovely Hula Hands,,Tully3 May 20180
Jason-Creasey,Let’s Go,,Charmed • S2E179 Apr 20200
Jason-Creasey,Runaway,,Tully3 May 20180
Last-Legion,Arsenal,,Tully3 May 20180
Girl-Band,Lawman,,Tully3 May 20180
Franz-Welser-Moest-and-London-Philharmonic-Orchestra,"Künstlerleben - Walzer, Op.316","0:201899 - London - Montage of Cassie teaching Cole how to dance; Cassie improves on her pickpocketing skills; the pair acquire costumes for The Red Death Masquerade; [0:25] repeats as Cole and Cassie start dancing at the masquerade while trying to determine the identity of the 'pauper'; Cassie recognizes Sebastian, then she and Cole corner him.",12 Monkeys • S3E820 May 20170
Martin-Fuchs-Catia-Rung-and-Reinhold-Rung,"Wiener Blut, Op. 354(Vienna Blood)",0:231899 - London - Performed as Cole and Cassie arrive at The Red Death Masquerade by carriage and look around the ballroom for Athan.,12 Monkeys • S3E820 May 20170
Boat-Culture,Soft Body,,Letterkenny • S6E324 Dec 20180
Boat-Culture,Cry,0:01Sam asks Harley why he's complicating Dave's coffee making process with a new machine.,Carter • S1E511 Jun 20180
FRANKIE,Paper Doll,First song during the airport scene.,The Bold Type • S2E14 Jun 20180
Jaded,Move It,,Dare Me • S1E68 Feb 20200
Jaded,Young,,The Bold Type • S3E720 May 20190
Jaded,In the Morning,First song at the Scarlett party. ,The Bold Type • S2E14 Jun 20180
All-Talk,Good Vibes,,The Bold Type • S4E35 Feb 20200
All-Talk,I Think I Like It,First song as they discuss where to meet.,The Bold Type • S2E211 Jun 20180
Ivy-Adara,Famous,,The Bold Type • S2E211 Jun 20180
Fenne-Lily,Top to Toe,Sutton runs into Richard in the elevator.,The Bold Type • S2E211 Jun 20180
Daisy-Dash,Oh My My My,,Late Night6 Jun 20190
Daisy-Dash,The New Classic,Kat and Jane discuss the conversation between Sutton and the bar manager.,The Bold Type • S2E823 Jul 20180
Daisy-Dash,We Do It Better,,The Bold Type • S2E211 Jun 20180
Laconic,All My People (feat. Maegan Cottone),,The Bold Type • S2E211 Jun 20180
Boaz,Trap,J and Mia are in the car driving.,Animal Kingdom • S3E24 Jun 20180
Circle-of-Dust,Machines of Our Disgrace,"0:29Alice plays music to get the attention of Julia, Eliot and Penny.",The Magicians • S5E511 Feb 20200
Circle-of-Dust,Contagion,Pope is told to leave the school.,Animal Kingdom • S3E311 Jun 20180
Wildkin,No Me Game,Nicky attempts to thank J for saving her.,Animal Kingdom • S3E311 Jun 20180
