artist,song_title,use,show
Jonathon-Rice,Break So Easy,Claire & David bond as they discuss their current life situations.,Six Feet Under • S4E113 Jun 20040
Jonathon-Rice,Quiet Hushed Voices,,Everwood • S2E1918 Apr 20040
David-Mead,Last Train Home,Addison asks Archer to leave; Charlotte tells Cooper she's humiliated; Pete talks to Keith's wife.,Private Practice • S2E1429 Jan 20090
David-Mead,Wherever You Are,,Everwood • S4E1630 Apr 20060
David-Mead,Only Living Boy In New York,,Everwood • S3E112 Sep 20040
Stew,Love Like That,,Everwood • S3E326 Sep 20040
Stew,Cavity,,Dawson's Creek • S4E210 Oct 20000
Motion-Soundtrack,Knockin',,Everwood • S3E219 Sep 20040
Teddy-Goldstein,Driving Song (How About Love),,Everwood • S3E510 Oct 20040
Bran-Van-3000,Rock Star,,Everwood • S3E41 Oct 20040
Jewel-Akens,Birds &amp; The Bees,,Everwood • S3E731 Oct 20040
John-Michael-Montgomery,I Can Love You Like That,,A Dog's Journey16 May 20190
John-Michael-Montgomery,Cover You In Kisses,,Everwood • S3E814 Nov 20040
Faultline-ft-Chris-Martin,Your Love Means Everything Part 2,,Everwood • S3E921 Nov 20040
Finley-Quaye-ft-William-Orbit,Dice,,Everwood • S3E146 Feb 20050
Graham-Colton-Band,Morning Light,,Everwood • S3E208 May 20050
Deb-Talan,Comfort,Preparing for the wedding.,Privileged • S1E1823 Feb 20090
Deb-Talan,Comfort,,Everwood • S4E177 May 20060
Deb-Talan,Forgiven,,Everwood • S4E25 Oct 20050
Deb-Talan,Tell Your Story Walking,Lucas and Nikki chat at the cafÃ©.,One Tree Hill • S1E162 Mar 20041
Deb-Talan,Thinking Amelia,,Dawson's Creek • S5E827 Nov 20010
Deb-Talan,Comfort,,Dawson's Creek • S3E1729 Feb 20000
The-Golden-Virgins,Renaissance Kid,,Everwood • S4E312 Oct 20050
Keren-Ann,Not Going Anywhere,George tells his dad about saving the guy in the elevator.,Grey's Anatomy • S2E920 Nov 20055
Keren-Ann,Not Going Anywhere,,Everwood • S3E1824 Apr 20050
Roy-Ashen,I'll Bet You Even Think You Know Me,,Everwood • S4E62 Nov 20050
Karrin-Allyson,Long As You're Living,,Everwood • S4E122 Apr 20060
Thumper-and-The-Plaid-Rabbits,Could It Get Any Worse,,Everwood • S4E122 Apr 20060
Wonderwall,Sexy Girl,,Everwood • S4E526 Oct 20050
