artist,song_title,use,show
Ronald-Charles-Douglas-Hammer,Dramatic Cue,,Pet Sematary4 Apr 20190
Dave-Newson,In the Crypt,,Pet Sematary4 Apr 20190
Pyotr-Ilyich-Tchaikovsky,Overture: The Year 1812,,Ready or Not20 Aug 20190
Pyotr-Ilyich-Tchaikovsky,Dance of the Sugarplum Fairy,,Pet Sematary4 Apr 20190
Pyotr-Ilyich-Tchaikovsky,Dance of the Sugar Plum Fairy,0:26Nick attempts to convice Happy into working with him to shark Bo and the guys out of money to get more money and guns to save Hailey.,Happy! • S1E212 Dec 20170
Raphael-Lake-and-Robert-Viper,Top Down,,Pet Sematary4 Apr 20190
Unloved-and-Barry-Woolnough,Danger,,Killing Eve • S2E17 Apr 20191
Nice-Legs,Holy Night,0:12Jon leaves Harvey’s place and goes to diner. He wanders into a pine tree shop and falls asleep underneath the pine trees.,Best F(r)iends: Volume 125 Sep 20180
Nice-Legs,Harvey Toasting the Dead,0:26Harvey gives a toast by himself to the dead.,Best F(r)iends: Volume 125 Sep 20180
Nice-Legs,Dental Scraps,0:27Jon goes to the library and search’s up how to sell dental scraps.,Best F(r)iends: Volume 125 Sep 20180
Tre-Houston,The Sidewalk Talks,0:11Ingrid meets Dan.,Ingrid Goes West11 Aug 20170
benny-blanco-Tainy-Selena-Gomez-and-J-Balvin,I Can't Get Enough,,The Baker and the Beauty • S1E326 Apr 20200
Whethan,Stay Forever (feat. STRFKR),"0:28At Pop's, Cheryl announces that prom is officially back on, then various toasts are made by the parents.",Riverdale • S4E195 May 20200
Whethan,All In My Head (feat. grandson),"0:01Josie's arrival interrupts Alaric's school assembly about her; MG asks to speak with Josie alone, as she sends her squad off to make arrangements for her birthday party.",Legacies • S2E1518 Mar 20200
Whethan,Good Nights (feat. Mascolo),"0:01Magnus reads out some housing listings to Alec, then Alec suggests they have dinner on the balcony.",Shadowhunters • S3E177 Apr 20190
Aristotle-The-Great,Terminal Illness,0:05Barry wins a hand of poker against some of his cell block mates.,The Flash • S4E1229 Jan 20180
Meet-Bros-Neha-Kakkar-and-Earl-Edgar,Tu Isaq Mera,0:01A car chase ends in one of the cars going in the water.,The Murders • S1E37 Apr 20190
Throes,Captive Love,"0:02Kate tells her lover she has to go to work, then he reminds her to uncuff him first and tries to convince her to play hooky.",The Murders • S1E37 Apr 20190
922-Gaurav-Dayal,922 Anthem,"0:03While Kate and Nolan are at the crime scene, the victim's phone rings.",The Murders • S1E37 Apr 20190
Adam-Hambrick,Looking out for Me,,Breakthrough16 Apr 20192
Phil-Wickham,This Is Amazing Grace (feat. Lecrae),,Breakthrough16 Apr 20194
Taylor-Mosby,Oceans (Where Feet May Fail) [feat. Kirk Franklin],,Breakthrough16 Apr 20194
Maddie-and-Tae,People Need People,,Breakthrough16 Apr 20193
Atoosa-Grey,When the Cardinals Come,1:02Sean and his father are eating cake at a diner. Sean's father tells him how he used to hang out in this place with his mother and friends when one of his old friends comes and have a conversation with him.,Boy Wonder11 Aug 20101
Carmel-Kaine-Sir-Neville-Marriner-Academy-of-St-Martin-in-the-Fields-Malcolm-Latchem-Stephen-Shingles-Kenneth-Heath-and-John-Gray,"The Art of Fugue, BWV 1080: Contrapunctus 1",0:10A young Sean and his mother listen to a quartet performing Bach.,Boy Wonder11 Aug 20101
Efrin-Toro-Oskar-Cartaya-and-Ramon-Stagnaro,El Corazon Herido,0:14Playing at the reception in the cantina after Drumlin arrives.,Contact10 Jul 19971
Fann-and-Dave-Aude,Shiny Things,"0:03Jane, Sutton and Kat ride to work together, they discuss Sutton seeing Pinstripe in the nude then Sutton announces Richard asking her to move in.",The Bold Type • S3E18 Apr 20190
Hamil,Feeling Gold ,"0:05Jane realizes that she mouthed off the new head of digital, Patrick Duchand.",The Bold Type • S3E18 Apr 20190
Kat-Capone,Pop,0:18Kat takes pictures of herself in different eyeware for her Instagram.,The Bold Type • S3E18 Apr 20190
Mark-Soljacich,Shake It Baby,0:15Liz and her father arrive at the UFO Emporium gala; Maria comments on Liz's lip stick choice.,"Roswell, New Mexico • S1E111 Apr 20190"
Guy-Pratt,Combination,"1:08Dade hacks into the file Joey retrieved.  (Starts when Cereal says, 'Tag!  You're in!')",Hackers14 Sep 19950
Frederic-Vitani,Samba Fever,"0:36The assassins look for Duncan at Miami, Florida.",Polar25 Jan 20191
God-s-Children,Bad Medicine (As Heard In Vegas Vacation),0:29Vivian is at a strip club. She receives a call from Duncan.,Polar25 Jan 20190
Dana-Bisignano-Eric-Dorn-Mario-Salinas,Heartland Tales,1:17Mr. Blut plays this record as he tortures Duncan for 3 days.,Polar25 Jan 20190
Colton-Fisher,Feels Good,,Shazam!4 Apr 20190
Ted-Daffan-Mia-Goth,Always Alone,0:55Boyse sings this song to Monte at the garden.,High Life4 Apr 20190
Roy-Williamson,Flower of Scotland,1:36Playing on the TV as Willow prays.,High Life4 Apr 20190
Liliana-de-Faria,Arrorró Mi Niño,0:04Começo,The Curse of La Llorona18 Apr 20190
George-Stoll-and-Robert-Van-Eps,Eddie In Love,,The Curse of La Llorona18 Apr 20190
Juanello,Espejismo,,The Curse of La Llorona18 Apr 20190
James-Cook,Jingle Bells,,The Curse of La Llorona18 Apr 20190
Maria-Lopez,Arrorró Mi Niño,,The Curse of La Llorona18 Apr 20190
J-Holiday,Bed,,Little11 Apr 20190
