artist,song_title,use,show
Liam-Finn,Gather To The Chapel,Callie helps Addison with her prayer.,Grey's Anatomy • S5E1519 Feb 20091
Liam-Finn,Better To Be,Silver looks for Dixon at The Pit; Adrianna listens to music while waiting for her mom.,90210 • S1E152 Feb 20090
A-C-Newman,The Palace At 4 a.m.,Dixon & Silver get dressed after having sex in the media room.,90210 • S1E1730 Mar 20090
Audrye-Sessions,Turn Me Off,Naomi & Adrianna discuss Liam.,90210 • S1E1730 Mar 20090
Audrye-Sessions,New Year's Day,,The City • S1E915 Feb 20090
Attack-Attack,You and Me,Silver films at The Pit.,90210 • S1E1730 Mar 20090
Colourmusic,Put In A Little Gas,Milo hits on Naomi.,90210 • S1E1730 Mar 20090
Colourmusic,The Gospel Song,Practice.,Friday Night Lights • S3E712 Nov 20080
Gavin-Rossdale,Love Remains The Same,Dixon visits with Kelly & Silver.,90210 • S1E1913 Apr 20090
Gavin-Rossdale,Can't Stop The World,Lauren &amp; Lo say goodbye to the house.,The Hills • S4E188 Dec 20080
Gavin-Rossdale,Love Remains The Same,Mick &amp; Beth dance; repeats as Mick tells Beth that he loves her.,Moonlight • S1E1616 May 20080
Gavin-Rossdale,Love Remains The Same,Lauren &amp; Stephen and Audrina &amp; Bobby talk as the housewarming party winds down.,The Hills • S3E2628 Apr 20080
Gavin-Rossdale,Another Night In The Hills,Spencer shows up at S Bar &amp; starts flirting with girls.,The Hills • S3E2414 Apr 20080
Edison-Glass,Let Go,Dixon counts down to Spring Break.,90210 • S1E1913 Apr 20090
M-Ward,The First Time I Ran Away,Ice skating with Sydney.,Parenthood • S4E820 Nov 20120
M-Ward,One Life Away,Alpha kills one of Echo's previous clients.,Dollhouse • S2E811 Dec 20090
M-Ward,Never Had Nobody Like You,House does for meal.,House M.D. • S5E234 May 20090
M-Ward,Never Had Nobody Like You,Harry critiques Debbie's nude photo shoot as Annie phones.,90210 • S1E1913 Apr 20090
M-Ward,Here Comes The Sun Again,Eli talks to Dr. Chen about his visions & the case.,Eli Stone • S1E27 Feb 20080
M-Ward,To Go Home,Paris & Rory discuss their careers & relationships.,Gilmore Girls • S7E1924 Apr 20070
M-Ward,Poison Cup,Logan watches as Veronica ignores his call.,Veronica Mars • S3E821 Nov 20060
The-Young-Knives,Dyed In The Wool,Naomi & Annie hang out at The Pit.,90210 • S1E2020 Apr 20090
The-Young-Knives,Up All Night,The Wilson's yard sale.,90210 • S1E2020 Apr 20090
Aine-Minogue,Awakening,Silver goes to church.,90210 • S1E2020 Apr 20090
Eagle-and-Talon,Dropped Down,Performed as Kelly & Donna dance.,90210 • S1E2020 Apr 20090
Eagle-and-Talon,Coast That's Closest,Performed as Kelly & Donna get a drink at the Truck Stop.,90210 • S1E2020 Apr 20090
Tapes-n-Tapes,Le Ruse,,Letterkenny • S4E324 Dec 20170
Tapes-n-Tapes,One In The World,Blair dreams of Louis morphing into Chuck as they ride a motorcycle.,Gossip Girl • S4E219 May 20110
Tapes-n-Tapes,Just Drums,Naomi vs Annie foosball.,90210 • S1E2020 Apr 20090
Nightmares-On-Wax,Passion,"0:04Annisa reassures Grace they'll keep her hidden until they figure out what to do; Jennifer receives a text message; Gambi analyzes some video footage, then asks Lynn to help him get access to the ASA main frame; Annisa, Henderson and Reverend Holt discuss what to do about the ASA searches.",Black Lightning • S3E724 Nov 20190
Nightmares-On-Wax,Da Feelin,Donna's store opening.,90210 • S1E2020 Apr 20090
Nightmares-On-Wax,70s 80s,David & Keith run into Father Jack at Video West.,Six Feet Under • S3E927 Apr 20030
BenLaVain,come On People,0:03A hiker is attacked in the woods.,Wynonna Earp • S1E65 May 20160
