artist,song_title,use,show
Chamillionaire-and-David-Banner,Talking That Talk,,The Longest Yard26 May 20050
Trillville,Infiltrate,,The Longest Yard26 May 20050
Ben-del-Maestro-and-Howard-Shore,Minas Tirith,,Lord of the Rings: The Return of the King16 Dec 20030
Billy-Boyd-and-Howard-Shore,The Steward of Gondor,,Lord of the Rings: The Return of the King16 Dec 20030
Nelly-and-Taylor-Made,Datz On My Mama,,The Longest Yard26 May 20050
Howard-Shore-and-Sir-James-Galway,The Black Gate Opens,,Lord of the Rings: The Return of the King16 Dec 20030
Howard-Shore-and-Sir-James-Galway,The Grey Havens,,Lord of the Rings: The Return of the King16 Dec 20030
Howard-Shore-and-Sir-James-Galway-Viggo-Mortensen-and-Renee-Fleming,The Return of the King,,Lord of the Rings: The Return of the King16 Dec 20030
Howard-Shore-and-RenA-C-e-Fleming,The End of All Things,,Lord of the Rings: The Return of the King16 Dec 20030
Lost-In-Translation-Original-Soundtrack,Intro / Tokyo,,Lost In Translation29 Nov 20020
MacGruber-and-Col-James-Faith,I'm In,,MacGruber29 Nov 20090
MacGruber,Nice Car D******d,,MacGruber29 Nov 20090
The-Eels,Christmas Is Going To The Dogs,Naomi tells Austin she can't go riding as her internship starts; Holly arrives to pick up clothes for the charity drive and invites Austin & Naomi to her birthday party.,90210 • S4E125 Dec 20110
The-Eels,The Longing,Quinn tells Nate to stop interferring in her relationship with Clay.,One Tree Hill • S7E619 Oct 20090
The-Eels,That Look You Give That Guy,Haley interrupts Brooke & Julian; Clay & Nate talk over beers; football; Brooke & Julian skinny dip.,One Tree Hill • S7E114 Sep 20091
The-Eels,Fresh Feeling,Chuck watches Awesome give Ellie a necklace; Chuck breaks up with Sarah & goes to see Lou.,Chuck • S1E812 Nov 20070
The-Eels,Living Life,"J.D. stands up for Elliot and is later joined by his friends, even those by association, for beers on his deck.",Scrubs • S5E1414 Mar 20060
The-Eels,I'm Going To Stop Pretending That I Didn't Break Your Heart,Brooke vents to Haley &amp; Peyton about Chris.,One Tree Hill • S3E830 Nov 20050
The-Eels,Love of the Loveless,"Song plays in the Cohen pool house as Ryan waste's time before school, as he watches TV and falls furthering a funk, and when he fights with Seth.",The O.C. • S1E1811 Feb 20040
The-Eels,Saturday Morning,Song plays in the beginning of the scene info in the Cohen kitchen as everyone is getting ready to leave.,The O.C. • S1E157 Jan 20040
The-Eels,Rock Hard Times,Claire drives Olivier to the mall on her first day as his assistant.,Six Feet Under • S3E530 Mar 20030
The-Eels,Fresh Feeling,A rotating split-screen depicts the resolve to change.,Scrubs • S1E2314 May 20020
The-Eels,Souljacker (pt 1),"After an argument with her brother Billy, Brenda starts to rip up phone numbers of men she has recently met.",Six Feet Under • S2E928 Apr 20020
The-Eels,Everything's Gonna Be Cool This Christmas,"Jim, Amy, Kyle &amp; Tess have dinner.",Roswell • S2E1018 Dec 20000
MacGruber-and-Vicki-St-Elmo,Spill It,,MacGruber29 Nov 20090
Matthew-Compton,MacGruber's Suite,,MacGruber29 Nov 20090
Lt-Dixon-Piper-and-MacGruber,Put Your Pants Back On,,MacGruber29 Nov 20090
Daniel-Bedingfield,If You're Not the One,,Maid in Manhattan12 Dec 20020
Colin-Firth-Stellan-Skarsgard-Amanda-Seyfried-Christine-Baranski-Julie-Walters-and-Pierce-Brosnan,Dancing Queen,,Mamma Mia: Here We Go Again!19 Jul 20181
Colin-Firth-Stellan-Skarsgard-Amanda-Seyfried-Christine-Baranski-Julie-Walters-and-Pierce-Brosnan,Dancing Queen,1:05Everyone showing up to the island for the party,Mamma Mia: Here We Go Again!19 Jul 20181
Colin-Firth-Stellan-Skarsgard-Amanda-Seyfried-Christine-Baranski-Julie-Walters-and-Pierce-Brosnan,Our Last Summer,,Mamma Mia!29 Nov 20071
Dominic-Cooper-and-Amanda-Seyfried,Lay All Your Love On Me,,Mamma Mia!29 Nov 20071
Cast-of-Mamma-Mia-the-Movie-Philip-Michael-Christine-Baranski-Julie-Walters-and-Stellan-Skarsgard,Voulez-Vous,,Mamma Mia!29 Nov 20070
Amanda-Seyfried-Ashley-Lilley-and-Rachel-McDowall,Gimme! Gimme! Gimme! (A Man After Midnight),,Mamma Mia!29 Nov 20071
Christine-Baranski-and-Philip-Michael,Does Your Mother Know,,Mamma Mia!29 Nov 20071
Meryl-Streep-and-Amanda-Seyfried,Slipping Through My Fingers,,Mamma Mia!29 Nov 20070
Georg-Tichy-and-Monika-Kraus,"Un DÃ¬ Felice, Eterea",,Match Point29 Nov 20040
Alida-Ferrarini,Gualtier Maldé!... Caro Nome,,The Leftovers • S3E46 May 20172
Alida-Ferrarini,Gualtier MaldÃ©!... Caro Nome,,Match Point29 Nov 20040
Pierce-Brosnan-and-Meryl-Streep,Sos,,Mamma Mia!29 Nov 20070
Pierce-Brosnan-and-Meryl-Streep,When All Is Said and Done,,Mamma Mia!29 Nov 20070
Team-Sleep,The Passportal,,The Matrix Reloaded14 May 20030
Unloco,Bystander,oficial soundtrack cd,Never Back Down13 Mar 20080
Unloco,Bruises,,The Matrix Reloaded14 May 20030
Hive,Ultrasonic Sound,,The Matrix29 Nov 19980
Rammstein,Fuhre mich,0:04First song as Seligman goes outside and finds Joe lying on the floor. (2:33) End credits song.,Nymphomaniac: Volume I20 Mar 20141
Rammstein,Führe Mich,,Nymphomaniac: Volume I20 Mar 20140
Rammstein,Führe Mich,,Nymphomaniac: Volume II20 Mar 20140
Rammstein,Du Hast,Christopher shows Lorelai the stereo on his new car.,Gilmore Girls • S2E66 Nov 20011
Rammstein,Du Hast,,The Matrix29 Nov 19981
Rammstein,Rammstein,,Lost Highway21 Feb 19970
Rammstein,Heirate Mich,,Lost Highway21 Feb 19970
Rammstein,Heirate mich,1:42Pete stumbles upon Alice’s sex tape. (2:04) Flashback to Alice and Mr. Eddy watching the sex tape.,Lost Highway21 Feb 19970
Rammstein,Rammstein,1:47Pete finds a man and woman engaging in sex. (2:02) Fred kidnaps Mr. Eddy.,Lost Highway21 Feb 19970
Anjali,Seven x Eight,Brooke 'surrenders' before entering Peyton's room.,One Tree Hill • S1E628 Oct 20031
Zimmer-and-Lorne-Balfe,Tightenville (Hal's Theme),,Megamind29 Oct 20100
Yo-Yo-Ma-Joel-Fan-Joseph-Gramley-Mark-Suter-Shane-Shanahan-Sandeep-Das-and-Edgar-Meyer,Mido Mountain (Chinese Traditional),,A Beautiful Day in the Neighborhood21 Nov 20190
Yo-Yo-Ma-Joel-Fan-Joseph-Gramley-Mark-Suter-Shane-Shanahan-Sandeep-Das-and-Edgar-Meyer,"Cello Suite No. 1 in G Major, BWV 1007: Prélude",0:52Montage as events act out until Hen hit another car.,9-1-1 • S3E810 Nov 20190
Yo-Yo-Ma-Joel-Fan-Joseph-Gramley-Mark-Suter-Shane-Shanahan-Sandeep-Das-and-Edgar-Meyer,"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: Prélude",0:34Alice calls Jacob to taunt him as she plays the cello.,Batwoman • S1E319 Oct 20191
