artist,song_title,use,show
Selectracks-Studio-Musicians,Costa Del Sol,,Jane the Virgin • S1E914 Dec 20140
Alba-Villanueva,Libre,"Alba sings 'Libre' by Paulina Rubio for Xiomara as she, Xio and Rogelio rock on the porch swing, she tells Rogelio it's Xiomara's anthem.",Jane the Virgin • S1E914 Dec 20140
Lonely-the-Brave,Trick of the Light,Song in the taxi as Kai drives to Mystic Falls.,The Vampire Diaries • S6E93 Dec 20140
Fly-Golden-Eagle,Stepping Stone,Song at the bar as it starts to die down.,The Vampire Diaries • S6E93 Dec 20140
Zella-Day,After The Fire,"0:48Ryan catches the baby; Jack talks the mother into jumping onto the truck ladder; mother and baby are reunited; after Bailey explains that Pruitt had an allergic reaction to his treatment, he asks that Andy be kept informed of his medical treatments; Victoria asks Maya to stand with her, as she stares into the strip mall fire.",Station 19 • S1E725 Apr 20182
Zella-Day,Mustang Kids (feat. Baby E),0:53Veronica and Archie finally emerge from the closet to find Betty gone.,Riverdale • S1E125 Jan 201731
Zella-Day,Hypnotic (Solidisco Remix),,Shameless • S7E422 Oct 20161
Zella-Day,High,,Guilt • S1E1021 Aug 20160
Zella-Day,Mustang Kids (feat. Baby E),,Guilt • S1E410 Jul 20160
Zella-Day,No Sleep To Dream ,0:18Flashback to Hanna doing work stuff at a bar and meeting Jordan.,Pretty Little Liars • S7E227 Jun 20160
Zella-Day,Compass,,The Finest Hours28 Jan 20160
Zella-Day,Mustang Kids (feat. Baby E),,Blood & Oil • S1E310 Oct 20150
Zella-Day,Hypnotic,"Sara asks Emily advice on what to wear for her first day of work with Caleb, then questions whether Emily still likes the tattoo she got.",Pretty Little Liars • S6E614 Jul 20150
Zella-Day,Hypnotic,,The Royals • S1E511 Apr 20151
Zella-Day,Sacrifice,Fourth song during credits.,Insurgent19 Mar 20153
Zella-Day,Hypnotic,"Stefan and Caroline feed on the student, then start making out in the hallway.",The Vampire Diaries • S6E1718 Mar 20151
Zella-Day,Sweet Ophelia,"0:25Stefan helps Caroline clean up the cabin, then offers to unpack the books after Caroline freaks out.",The Vampire Diaries • S6E1411 Feb 20150
Zella-Day,Hypnotic,0:05Becca escapes to the bathroom and overhears Phoebe and her mother talking disparaging her life.,Hindsight • S1E16 Jan 20150
Zella-Day,Sweet Ophelia,0:03Becca's boss asks her about a business contract.,Hindsight • S1E16 Jan 20150
Zella-Day,Compass,Elena stops short at the door and confesses to Damon.,The Vampire Diaries • S6E93 Dec 20141
Zella-Day,Mustang Kids (feat. Baby E),,Teen Wolf • S4E520 Jul 20141
Hannah-Northedge-Choir,Scarborough Fair,0:29Miles pour red wine over himself as the choir sings this song.,The Riot Club14 Dec 20140
Hannah-Northedge-Choir,Adeste Fidelis,,The Riot Club14 Dec 20140
Sigma-and-Ella-Eyre,We Don't Have To Take Our Clothes Off,"0:50Jules apologizes to Tyler for sending mixed messages, then tells him she needs to take things slow; they kiss.",Sweet/Vicious • S1E328 Nov 20162
Sigma-and-Ella-Eyre,Good Times,"0:32Liam explains to Hayden why he can't get drunk, then asks if she has seen Gwen; they kiss.",Teen Wolf • S6E328 Nov 20160
Sigma-and-Ella-Eyre,If I Go,April breaks down while telling Jackson they baby is a boy; Meredith calls Derek and tells him she doesn't want to fight anymore; flashback to Derek & Meredith making their post-it vows.,Grey's Anatomy • S11E10928 Jan 20150
Sigma-and-Ella-Eyre,Deeper,0:17Miles texts Lauren from outside her window as he walks home with his bicycle.,The Riot Club14 Dec 20140
Sigma-and-Ella-Eyre,Deeper,"At lunch, Jo complains about Alex's lack of attention, then Stephanie tells her about the anomaly she found on April & Jackson's baby; Meredith & Callie tell Alex & Maggie about their problems; Richard tells Bailey he doesn't know what to do about Maggie.",Grey's Anatomy • S11E10819 Nov 20140
Sigma-and-Ella-Eyre,Home,"The doctor's hang out at Alex's house, then Arizona arrives with a suitcase; Amelia returns home to find Derek waiting up for her.",Grey's Anatomy • S11E10712 Nov 20141
Mousse-T,Horny '98,0:24Song at the pub as all the rowers take there shirts off.,The Riot Club14 Dec 20140
Grimethorpe-Colliery,Jerusalem,,The Riot Club14 Dec 20140
Roll-Deep,Good Times,0:16Song playing from the car as the boys from the riot club first meet Alistair.,The Riot Club14 Dec 20140
Fatboy-Slim-Riva-Starr,Eat Sleep Rave Repeat (Calvis Harris Remix Edit),0:19Rave music playing from the sports car before one of them vomits.,The Riot Club14 Dec 20140
Kasper-Winding,Cocaine Fools,,The Riot Club14 Dec 20140
Kasper-Winding,Riot Club Intro,,The Riot Club14 Dec 20140
Kasper-Winding,Riot Club Theme,,The Riot Club14 Dec 20140
Kasper-Winding,Lauren and Miles,,The Riot Club14 Dec 20140
Kasper-Winding,Alistair Recruited,,The Riot Club14 Dec 20140
Kasper-Winding,Spirituale,,The Riot Club14 Dec 20140
Kasper-Winding,Initiation,,The Riot Club14 Dec 20140
Kasper-Winding,Miles Hangover,,The Riot Club14 Dec 20140
Kasper-Winding,Dinner Preparation,,The Riot Club14 Dec 20140
Kasper-Winding,Charlie's Arrival,,The Riot Club14 Dec 20140
Kasper-Winding,Birthday Cake,,The Riot Club14 Dec 20140
Kasper-Winding,Hugo and Miles,,The Riot Club14 Dec 20140
Kasper-Winding,Lauren's Humiliation,,The Riot Club14 Dec 20140
Kasper-Winding,The Big Speech,,The Riot Club14 Dec 20140
Kasper-Winding,Good Times Transition,,The Riot Club14 Dec 20140
Kasper-Winding,The Beating,,The Riot Club14 Dec 20140
Kasper-Winding,Jail Time,,The Riot Club14 Dec 20140
Kasper-Winding,Is He Dead,,The Riot Club14 Dec 20140
Kasper-Winding,Please Forgive Me,,The Riot Club14 Dec 20140
Kasper-Winding,Alistair's Arrest,,The Riot Club14 Dec 20140
Kasper-Winding,Alistair's Triumph,,The Riot Club14 Dec 20140
Kasper-Winding,Love Theme,,The Riot Club14 Dec 20140
Nashville-Session-Singers,Here I Come,Tara gives Naomi a call on the porch.,True Blood • S4E523 Jul 20110
Graham-Coxon,Something Sweet,0:04Alyssa introduces Todd.,The End of the Fucking World • S2E23 Nov 20190
Graham-Coxon,Meaner Than the Sea,0:16Quando a atirador entra no restaurante ,The End of the Fucking World • S2E63 Nov 20191
Graham-Coxon,The Snare,0:01Song during the recap of the first season.,The End of the Fucking World • S2E13 Nov 20190
Graham-Coxon,Home Again,0:09Montage as Clive starts teaching his lectures.,The End of the Fucking World • S2E13 Nov 20191
Graham-Coxon,Bonniezooks,0:10Bonnie rips down Clive's poster after he tells her not to come to his lecture again.,The End of the Fucking World • S2E13 Nov 20190
Graham-Coxon,Beautiful Bad,0:04The trio arrive at the hotel.,The End of the Fucking World • S2E43 Nov 20191
Graham-Coxon,A Better Beginning,0:20Bonnie murders Clive's accuser with her car. ,The End of the Fucking World • S2E13 Nov 20190
Graham-Coxon,Fly Away,0:21Bonnie receives Clive's book in prison. Writes him a letter.,The End of the Fucking World • S2E13 Nov 20190
