artist,song_title,use,show
R-Matthews-and-Christopher-Marshall,Coming Home 1,,Better Call Saul • S1E715 Mar 20150
Antonio-Garcia-Isaac,Pasear Al Tigre,,On My Block • S3E210 Mar 20200
Antonio-Garcia-Isaac,Son Guajira,,Better Call Saul • S1E822 Mar 20150
Galt-MacDermot,Duffer in F (Version 2),,High Maintenance • S4E719 Mar 20200
Galt-MacDermot,Glad I Had a Friend,0:56Flashback song as we see Tastee and Tamika leave work and get robbed.,Orange is the New Black • S6E826 Jul 20180
Galt-MacDermot,Coffee Cold,,Narcos • S3E631 Aug 20171
Galt-MacDermot,Coffee Cold,,Dirty Grandpa21 Jan 20161
Galt-MacDermot,Coffee Cold,,Better Call Saul • S1E822 Mar 20150
The-Buckinghams,"Mercy, Mercy, Mercy",,Better Call Saul • S1E105 Apr 20154
Al-Kooper-and-Steve-Stills,Season of the Witch,,Better Call Saul • S1E105 Apr 20154
Marc-Ferrari-and-Michael-McGregor,Yes I Am,,Better Call Saul • S1E105 Apr 20150
Julie-Sutton,Stack of Blues,,Better Call Saul • S1E105 Apr 20150
Sunderland,Every Night,,Finding Carter • S1E711 Aug 20140
Sunderland,Blue Light (My Generation),,Finding Carter • S1E17 Jul 20140
Secret-Colours,Places I'm Going,0:07Nora takes Sherloque to CC Jitters to enact Thawne's plan to distract him.,The Flash • S5E134 Feb 20190
Secret-Colours,Dream Dream,,Shameless • S8E96 Jan 20180
Secret-Colours,Carry On,,Shameless • S8E716 Dec 20170
Secret-Colours,Changes In Nature,0:02Matt questions a witness at The Mystic Grill and his dad and mom arrive.,The Vampire Diaries • S8E152 Mar 20170
Secret-Colours,Pins And Needles,0:09Matt asks his mother why she came back.,The Vampire Diaries • S8E152 Mar 20170
Secret-Colours,Into You,,Shameless • S7E926 Nov 20160
Secret-Colours,Blackbird (Only One),,Shameless • S7E28 Oct 20160
Secret-Colours,Heavy & Steady,0:24Carter stops by Magic Hour to ask Jared for advice about dealing with Ben.,Finding Carter • S2E1519 Oct 20150
Secret-Colours,City Slicker,,Shameless • S5E324 Jan 20150
Secret-Colours,Rotten Summer,,Finding Carter • S1E17 Jul 20140
Stedapol-C-C-Watt,Caught In The Wrong Direction,,Better Call Saul • S1E105 Apr 20150
Loudlike,Where You Live Now,,Finding Carter • S1E27 Jul 20140
Chris-Batson,I Know,"0:05Nathan follows Meredith in to the bathroom, where they have sex.",Grey's Anatomy • S13E2012 Apr 20172
Chris-Batson,I Know,,Finding Carter • S1E27 Jul 20140
Aidan-Hawken-Carina-Round-and-Dan-Burns,Rolling Down,,Finding Carter • S1E314 Jul 20140
Joy-Enriquez,Unstoppable,,Finding Carter • S1E314 Jul 20140
Emily-Hearn,"Please, Don't Take My Love",Last scene of episode 6,Queen Sugar • S3E626 Jun 20182
Emily-Hearn,Waking up Again,,Finding Carter • S2E101 Jun 20150
Emily-Hearn,Volcano,End of Episode: Rafael tells Jane that they have too many differences and that they should break up.  ,Jane the Virgin • S1E1812 Apr 20151
Emily-Hearn,Gotta Have Him,,Finding Carter • S1E314 Jul 20140
Let-s-Buy-Happiness,Fresh Hex,,Finding Carter • S1E314 Jul 20140
Danny-McCarthy-Wally-Gagel-and-Xandy-Barry,Oblivion,,Finding Carter • S1E421 Jul 20140
Clueless,I've Been Living,,Finding Carter • S1E314 Jul 20140
Jon-Howard-feat-Natalie-Taylor,Redemption (Part 1),"0:57Catherine admits to murdering Diane, then Bash threatens to kill her before resigning; Narcisse and Bash insist on accompanying Mary; Charles and Claude confront Catherine over her manipulations; Mary's sea voyage takes a rough turn.",Reign • S3E1522 May 20161
Jon-Howard-feat-Natalie-Taylor,Nothing To Lose,,Finding Carter • S1E421 Jul 20140
Point-Bloom,All Mine,,Virgin River • S1E55 Dec 20190
Point-Bloom,Only You,,Finding Carter • S1E421 Jul 20140
Hipjoint-feat-Sherry-St-Germain,Goinâ€™ Off,,Finding Carter • S1E528 Jul 20140
Duquette-Johnston,Heart Is Breaking,,Finding Carter • S1E528 Jul 20140
Bad-Actress,Guide Us Home,,Finding Carter • S1E528 Jul 20140
Huw-Williams-Bruce-Fingers-and-Billie-Ray-Fingers,Optimus Fine,,Summertime • S1E428 Apr 20200
Huw-Williams-Bruce-Fingers-and-Billie-Ray-Fingers,Pretty Lights,"0:10At The Black Hole, Atria tries to talk Thomas through using his telekinesis abilities.",Pandora • S1E726 Aug 20190
Huw-Williams-Bruce-Fingers-and-Billie-Ray-Fingers,Juicy Fruit,,Insatiable • S1E1110 Aug 20180
Huw-Williams-Bruce-Fingers-and-Billie-Ray-Fingers,Shine So Bright,,Finding Carter • S1E528 Jul 20140
Goldheart,Thereâ€™s No One Quite Like Me,,Finding Carter • S1E64 Aug 20140
Tweens,Rattle + Rollin',Song as the police chase a woman through New York.,Dietland • S1E61 Jul 20180
Tweens,Rattle + Rollin',,Finding Carter • S1E528 Jul 20140
Rose-Hart,Put Your Hands Up,,Finding Carter • S1E64 Aug 20140
Rose-Hart,Doin' My Thing,,Shameless • S4E218 Jan 20140
Weekender,Fear,,Finding Carter • S1E64 Aug 20140
Talos,In Time,,Prodigal Son • S1E1722 Mar 20202
Talos,"Dawn, The Front",,Prodigal Son • S1E122 Sep 20190
Talos,Let Go,0:34Ryn shows her mate how things are different on land.,Siren • S2E1417 Jul 20190
Talos,"Dawn, The Front",0:52Annalise goes to meet with Claire; Gabriel talks with his mom; Nate reads the letters from his father to Ophelia; Laurel leaves Claire a voicemail; Tegan goes to talk to Claire's senior officer about her;  (Flashback) Tegan bonds with Claire then they share a kiss.,How to Get Away With Murder • S5E1313 Feb 20190
Talos,Bloom,0:32,UnReal • S3E815 Apr 20180
Talos,In Time,"0:42Simon begs a weakened Clary to stay with him, as Jace arrives with Madzie to fulfill the blood oath.",Shadowhunters • S2E926 Feb 20172
Talos,In Time,,Guilt • S1E219 Jun 20160
Talos,Tethered Bones,,Finding Carter • S1E64 Aug 20140
St-South,Slacks,0:51Enzo joins Bonnie for a drink and she tells him he's better off without Lily. ,The Vampire Diaries • S7E718 Nov 20150
St-South,Slacks,,UnReal • S1E421 Jun 20150
St-South,Slacks,,Finding Carter • S1E711 Aug 20140
The-Parlour-Suite,Pressure,,Finding Carter • S1E711 Aug 20140
Repartee,Never Let It Go,,Finding Carter • S1E711 Aug 20140
Jamie-Floyd,Without a Fight,,Finding Carter • S1E818 Aug 20140
The-Dear-Hunter,Whisper,,Finding Carter • S1E818 Aug 20140
Atlas-Road-Crew-feat-Regina-Ferguson-and-Ben-G,Bottom Of Love,,Finding Carter • S1E818 Aug 20140
Peter-Groenwald-feat-Jill-Andrews,Wake Up,,Finding Carter • S1E818 Aug 20140
Sleep-Machine,Good to Be Bad,0:21Nicole drops off the food orders for Ben and Xan; Ben comments on Xan's relationship with Nicole; Nicole texts her boss.,Siren • S2E520 Feb 20190
Sleep-Machine,Wild Woman,0:05Roz leads Sabrina and Susie to the library to check if certain books have been banned.,Chilling Adventures Of Sabrina • S1E325 Oct 20181
Sleep-Machine,Wild for You,0:45Peter excuses himself when Denise shows up to see Aiden; Wes arrives home to a romantic set-up by Stella.,Life Sentence • S1E917 May 20180
Sleep-Machine,Wild Woman,"0:28Kate shows up with a team of FBI agents, then shoots the other agents before they can get to Argent and Derek.",Teen Wolf • S6E1916 Sep 20170
Sleep-Machine,Wild for You,0:31,Famous in Love • S1E317 Apr 20171
Sleep-Machine,Run,,The Royals • S2E512 Dec 20154
Sleep-Machine,Stone,0:07Jared and Carter's kiss is interrupted by Ben arriving to borrow her car.,Finding Carter • S2E189 Nov 20150
Sleep-Machine,Wild for You,0:52Carter chats with bartender Jared.,Finding Carter • S2E135 Oct 20150
Sleep-Machine,Hot Blooded Love,,Finding Carter • S2E64 May 20150
Sleep-Machine,Cover Me in Gold,,Finding Carter • S1E925 Aug 20140
BBGUN,Heavy,,Finding Carter • S1E925 Aug 20140
Elliot-Moss,Slip,,The L Word: Generation Q • S1E54 Jan 20200
Elliot-Moss,Highspeeds,0:48Harris gets a call from Barton; Jules breaks up with Tyler; Nate goes to the sorority house to talk with Kennedy.,Sweet/Vicious • S1E62 Jan 20170
Elliot-Moss,Slip,,Finding Carter • S1E925 Aug 20140
Fitness,Make It Red,0:56Bradley asks the women at the fitness center if he should let her daughter date Tommy. http://formatpub.com/ourmusic.php,Mother's Day28 Apr 20160
Fitness,Make It Red,,Finding Carter • S1E925 Aug 20140
JaMiss,Ladies Who Grind,,Finding Carter • S1E925 Aug 20140
Hillary-Hand,Hangin' On,0:32.,Blood & Oil • S1E828 Nov 20150
Hillary-Hand,Say Goodbye,,Finding Carter • S1E925 Aug 20140
Drooom,Red Eyes,,Finding Carter • S1E925 Aug 20140
Walking-Shapes,Feel Good,,Finding Carter • S1E101 Sep 20140
Wally-Gagel-and-Xandy-Barry,Night Sides,,Finding Carter • S1E1215 Sep 20140
Wally-Gagel-and-Xandy-Barry,Fall From Above,,Finding Carter • S1E925 Aug 20140
Ernest-and-Tom,Sleazy Heart,,Finding Carter • S1E101 Sep 20140
Shelley-Rosenberg,All Is Lost,,Finding Carter • S1E101 Sep 20140
Rictor,The Bad Makes the Good Better,0:44The doctors transplant Erin's heart into Vicky as the girls' parents break down in tears over news of Erin's death; Alex receives bad news regarding her mom's memorial.,Saving Hope • S5E107 Jun 20170
Rictor,Lost,,Finding Carter • S1E118 Sep 20140
Miakoda,The After You,0:58Booth consoles Brennan in the hospital hallway.,Bones • S12E713 Feb 20170
Miakoda,The After You,,Finding Carter • S1E101 Sep 20140
Jasmine-Thompson,Everybody Hurts,0:58Alex informs Kara that their father was found; an Obsidian North employee tucks away a catatonic Richard Bates.,Supergirl • S5E1514 Mar 20200
Jasmine-Thompson,Old Friends,"0:55Arizona and Amelia watch as Alex tells Jeremy about Veronica's death; Catherine tells Richard she was wrong, then he shares the pictures that he took of Mary and the worms; Owen finds Amelia crying in the elevator and consoles her; Meredith tells Maggie she won't stop trying to make things better between them.",Grey's Anatomy • S13E2126 Apr 20173
Jasmine-Thompson,Like I'm Gonna Lose You,"0:55Haley breaks down in tears, then tells Elijah she feels responsible for Jackson's death.",The Originals • S3E114 Feb 201614
Jasmine-Thompson,Everybody Hurts,0:57Major opens his safe for Liv and admits he couldn't get rid of her engagement ring; Liv texts with with Rita/Gilda on Major's phone.,iZombie • S2E830 Nov 20150
Jasmine-Thompson,A Thousand Years,,Finding Carter • S1E118 Sep 20141
Escapists,Eyes,,Finding Carter • S2E130 Mar 20150
Kid-Runner,Don't Change Me,,Shameless • S7E712 Oct 20160
Kid-Runner,Gold Teeth,,Finding Carter • S2E130 Mar 20150
The-Mary-Dream,Best Thing,,Finding Carter • S2E64 May 20150
The-Mary-Dream,Save You,,Finding Carter • S2E130 Mar 20150
Hotel-Art,Strangers,0:38Jake sends in his short to a film competition; Cassie finds the new version of the script on her doorstep with her cast as 'dead girl #6'.,Famous in Love • S2E61 May 20180
Hotel-Art,Strangers,,Finding Carter • S2E130 Mar 20150
Tanya-Batt,Secret Doors and Passageways,,Finding Carter • S2E26 Apr 20150
The-Schizophonics,Rat Trap,,Finding Carter • S2E26 Apr 20150
Aron-Wright-feat-Annie-Williams,Weâ€™ve Had Romance,,Finding Carter • S2E26 Apr 20150
VERITE,gone,,The Bold Type • S4E1025 Mar 20200
VERITE,good for it,,The L Word: Generation Q • S1E718 Jan 20200
VERITE,Nothing,,Orange is the New Black • S7E825 Jul 20190
VERITE,Phase Me Out,"0:56Flashback to the first time Conner asked out Hayes; Hayes tells Sam he's fired, then kisses him and tells him it was sexual harassment; Hayes apologizes to Conner.",Conviction • S1E1328 Jan 20171
VERITE,Strange Enough (Carousel Remix),"0:32Alex joins Owen at the bar and ends up giving her his drink, then asks him about Lydia; as Alex leads a wobbly Owen out of the bar, she accuses Harry of lying to her.",Quantico • S2E922 Jan 20170
VERITE,Strange Enough,"0:59Ben and Alice have sex; Alice wakes alone in bed as Ben calls, then tells him he'll have to play by her rules if he wants the bracelet back.",The Catch • S1E520 Apr 20160
VERITE,Heartbeat,,Finding Carter • S2E101 Jun 20150
VERITE,Strange Enough,,Finding Carter • S2E26 Apr 20150
Paper-Thick-Walls,Smoke Perfume,,Finding Carter • S2E313 Apr 20150
Aron-Wright-and-Klergy,Unraveling,0:34Jo spots Kimmie leaving the hospital and she asks Jo to tell Alex 'thank you'.,Grey's Anatomy • S14E1911 Apr 20182
PVRIS,Eyelids,"0:14Clary asks Jace if what happened in the other dimension were real, then they kiss.",Shadowhunters • S1E1121 Mar 20168
PVRIS,Holy,,Finding Carter • S2E420 Apr 20150
PVRIS,Eyelids,,Finding Carter • S2E313 Apr 20151
