artist,song_title,use,show
Hugh-Laurie,Cuddy's Serenade,Rachel's Simchat Bat; Thirteen goes home to Foreman; House plays the piano.,House M.D. • S5E1516 Feb 20090
Bumblebeez-81,Pink Fairy Floss,Chase goes into anaphylactic shock.,House M.D. • S5E2227 Apr 20092
Billy-Moon,Little Cabin Song,House joins in the basketball game.,House M.D. • S6E121 Sep 20090
Schumann,Kinderszenen Op. 15,House heads back into the hospital to find Lydia playing the piano; repeats as House plays the piano for Lydia just as Steve returns.,House M.D. • S6E121 Sep 20090
Stanton-Moore,Blackbird Special,0:43Montage of Saul continually holding up the construction development.,Better Call Saul • S5E515 Mar 20200
Stanton-Moore,Pushy Poison,House beats up Alvie.,House M.D. • S6E121 Sep 20090
Gilbert-and-Sullivan,He Is An Englishman (from 'HMS Pinafore'),House sings while obtaining a urine sample.,House M.D. • S6E121 Sep 20090
Big-Strides,I Do Not Fear Jazz,House takes Steve to a fair ground.,House M.D. • S6E121 Sep 20090
Monotonix,Lowest Dive,,Letterkenny • S5E528 Jun 20180
Monotonix,Set Me Free,Donnie and his partner chase a robber at the beginning of the episode.,House M.D. • S6E69 Nov 20090
Ben-Harper-and-Relentless7,Faithfully Remain,House leaves Donnie's room; Donnie talks to his son; Chase comes home drunk.,House M.D. • S6E69 Nov 20090
The-Whitest-Boy-Alive,Golden Cage,Opening of the episode on the set of the movie.,House M.D. • S6E823 Nov 20090
Eric-Bibb,Shine On,Cuddy announces she got the 12%; Cuddy in bed with Lucas and Rachel.,House M.D. • S6E148 Mar 20100
The-Dynamites,What's It Gonna Be?,"Chase, House, and Wilson enter the bar to speed date.",House M.D. • S6E1515 Mar 20100
JJ-Grey-and-Mofro,Every Minute,"0:18Murtaugh finds Riggs making breakfast in his kitchner, then tells him about how he met Trish; Murtaugh suggests they talk to the gang unit about the decapitations.",Lethal Weapon • S1E34 Oct 20161
JJ-Grey-and-Mofro,The Sun Is Shining Down,House reflects as he reads Frankie's blog.,House M.D. • S6E1515 Mar 20100
Mofro,Lochloosa,End of the episode when House and Wilson leave the hospital.,House M.D. • S6E1515 Mar 20100
Medeski-Scofield-Martin-and-Wood,Tequila and Chocolate,Taub hits Foreman.,House M.D. • S6E1719 Apr 20100
Medeski-Scofield-Martin-and-Wood,Tootie Ma Is A Big Fine Thing,Foreman and Taub agree to go through the personnel files.,House M.D. • S6E1719 Apr 20100
The-Derek-Trucks-Band,Volunteered Slavery,Foreman and Taub take House's pain pills.,House M.D. • S6E1719 Apr 20100
Alberto-Turco-and-Nova-Schola-Gregoriana,Intoitus: Adorate Deum,Foreman and Taub are lying on the floor after taking the pills.,House M.D. • S6E1719 Apr 20100
Les-Yeux-Noirs,Les Deux Guitares Tzigane Russe,Wilson asks Daria for a sandwich and then steals a dollar from the cash register which sets off the alarm.,House M.D. • S6E1719 Apr 20100
Billy-Bragg-and-Wilco-ft-Natalie-Merchant,Birds and Ships,Cuddy finds the missing baby; Cameron leaves Chase.,House M.D. • S6E1719 Apr 20100
Mabel-Mercer,Once In A Blue Moon,Nash passes away; Thirteen flashes Taub.,House M.D. • S6E1719 Apr 20100
Richard-and-Linda-Thompson,Just The Motion,Thirteen talks to Sir William and House decides not to open the envelope containing information about Samantha.,House M.D. • S6E1826 Apr 20100
Adam-Hamilton-Master-Source,Army of One,House and Thirteen have drinks at the Lesbian bar.,House M.D. • S6E2010 May 20100
Steve-Harley-and-Cockney-Rebel,Make Me Smile (Come Up and See Me),House and Alvie are playing football in the apartment.,House M.D. • S6E2117 May 20100
Buddy-Guy-and-Junior-Wells,In The Wee Hours,House empties the bottle and then leaves.,House M.D. • S6E2117 May 20101
Chk-Chik-Chick,AM/FM,Della performs at the skateboarding competition.,House M.D. • S7E227 Sep 20100
Jonny-Kaplan-and-the-Lazy-Stars,Ride Free,House and Wilson look at bikes.,House M.D. • S7E411 Oct 20100
Black-Ryder,All That We See,Ending montage.,House M.D. • S7E715 Nov 20100
The-Ohio-Players,Love Rollercoaster,Chase leaves the Wedding with the 2 girls.,House M.D. • S7E822 Nov 20100
The-Ohio-Players,Fire,"The song plays as group of impossibly hot firemen strippers arrive to Julie's party, carry her into the living room coffee table, and begin taking it all off for the bride to be.",The O.C. • S1E2628 Apr 20040
Fyfe-Dangerfield,Barricades,House tells Cuddy that being happy and in love with her is worth him being a worse doctor and falls asleep on her lap.,House M.D. • S7E1428 Feb 20110
Music,Take The Long Road And Walk It,Bull-riding.,House M.D. • S7E1614 Mar 20110
The-Binges,Motorcycle Song,House and his team ride in the monster truck.,House M.D. • S7E1721 Mar 20110
Barn-Owl,Visions In Dust,,House M.D. • S7E1811 Apr 20110
The-Limetree-Warehouse,On The Line,Ending montage.,House M.D. • S7E202 May 20110
The-Themes,Reminds Me of You,,House M.D. • S7E219 May 20110
Sonny-Boy-Williamson,Sonny Boy's Cold Chills,"0:49Randy and Dennis wait for Lieutenant Diaz to arrive home.
",Filth City25 Mar 20170
Sonny-Boy-Williamson,Unseen Eye,,House M.D. • S7E219 May 20110
Sonny-Boy-Williamson,Bring It on Home,,Mulholland Drive12 Oct 20010
Richard-A-Whiting-Raymond-B-Egan-and-Gus-Kahn,Ain't We Got Fun,Played by jazz band at the Cedarville town festival.,House M.D. • S8E57 Nov 20110
Schuyler-Fisk-and-Dave-Bassett,Waking Life,Park gets in the elevator and asks out Chase; Foreman says he changed his mind and meets Anita at the bar; House looks at a sword in his closet.,House M.D. • S8E828 Nov 20110
The-Dropkick-Murphys,The Spicy McHaggis Jig,Turtle races.,House M.D. • S8E1030 Jan 20120
Miranda-Cosgrove-ft-Drake-Bell,Leave It All To Me (Theme From iCarly),,House M.D. • S8E152 Apr 20120
Bunny-Berigan-and-His-Boys,A Melody From The Sky,,House M.D. • S8E1930 Apr 20120
Coco-Steel-and-Lovebomb,Yachts,House and Wilson take painkillers.,House M.D. • S8E1930 Apr 20120
Georgia-Steamroller,Radar Love,Wilson & House leave on their roadtrip.,House M.D. • S8E207 May 20120
Black-Toast-Music,Make Me Wanna Zing,,Shameless • S8E211 Nov 20170
Black-Toast-Music,No Questions Asked,0:28Arthur meets another male captive and discovers the Savages are milking the men for their sperm.,Blood Drive • S1E618 Jul 20170
Black-Toast-Music,Blunt,Taub & Adams check out Derrick's dorm room.,House M.D. • S8E2114 May 20120
Black-Toast-Music,One More Once,Sam & Sarah at dinner.,Supernatural • S1E1913 Apr 20060
Black-Toast-Music,Gold & Platinum,Keith agrees to take Roger's actor friend to the airport while Roger takes Durrell & Anthony for suit alterations.,Six Feet Under • S5E107 Aug 20050
Black-Toast-Music,Yada Yada Yada,Anthony does his homework; repeated as Durrell talks with David.,Six Feet Under • S5E717 Jul 20050
Black-Toast-Music,Blame,"At the party, Clark worries about Lana, Chloe & Lois' whereabouts.",Smallville • S4E810 Nov 20040
Black-Toast-Music,Hey Now,Clark confronts Seth about his control over Lana.,Smallville • S3E712 Nov 20030
David-Lawrence-and-Jon-Turteltaub,Hold On,,Jericho • S1E227 Sep 20060
David-Latham,Fall On Me,,Jericho • S1E35 Oct 20060
Slot,Crushing Yer Head,,Jericho • S1E411 Oct 20060
