artist,song_title,use,show
Cassandra-Wilson,Harvest Moon,0:35Celeste has flashbacks and memories of all the good times she shared with Perry. Continues as dinner is served.,Big Little Lies • S2E18 Jun 20190
Cassandra-Wilson,Death Letter,0:01First song during opening credits.,True Detective • S3E112 Jan 20191
Cassandra-Wilson,Billie's Blues,,True Detective • S3E212 Jan 20191
Cassandra-Wilson,Sign of the Judgement,"0:56Rust stops Marty for a drink, End Credits Song",True Detective • S1E623 Feb 20141
Cassandra-Wilson,I Want To Be Loved,Katie & Dan play around with Dan's new camera; present.,Journeyman • S1E1217 Dec 20070
Cassandra-Wilson,The Weight,,Everwood • S1E83 Nov 20020
Wild-Magnolias,Brother John Is Gone / Herc-Jolly-John,First song as  Carl cooks in his restaurant.,Chef8 May 20141
Freedom-Express,Get Down,0:11Carl reads the poor review out to his team at the bar.,Chef8 May 20142
Pete-Rodriguez,I Like It Like That,0:16Song as prepares and tests out his new menu at the restaurant. ,Chef8 May 20142
Pete-Rodriguez,I Like It Like That (Aaron Jerome Remix),,Cuban Fury10 Apr 20140
Courtney-John,Free for All,,Sneaky Pete • S2E18 Mar 20180
Courtney-John,Lucky Man,0:06Alice has lunch with her daughter at the restaurant.,Still Alice4 Dec 20141
Courtney-John,Lucky Man,0:20Carl cooks a delicious toasted cheese sandwich for his son.,Chef8 May 20142
El-Michels-Affair,Shimmy Shimmy Ya,Foot chase scene.,The Gentlemen23 Jan 20204
El-Michels-Affair,C.R.E.A.M.,,Game Over Man22 Mar 20181
El-Michels-Affair,Bring Da Ruckus,,Game Over Man22 Mar 20180
El-Michels-Affair,El Michels Affair - C.R.E.A.M,"0:23Carl sifts through the twitter responses, he responds to the critic, publicly. ",Chef8 May 20142
Perico-Hernandez,La Quimbumba (Live at el Jefe),,Chef8 May 20143
Perico-Hernandez,Oye Como Va (Live at el Jefe),0:01It was played by Inez's father at their wedding at El Jefe.,Chef8 May 20142
Grant-Phabao-Carlton-Livingston-and-The-Lone-Ranger,A Message To You Rudy,0:14Carl cooks pasta for Molly at his place.,Chef8 May 20144
The-Mohawks,The Champ,When Carl goes to ask about the food truck to Inez's ex-husband,Chef8 May 20141
Willie-ColA-n,El Malo,,The Get Down • S1E211 Aug 20160
Willie-ColA-n,Juana Pena,,The Get Down • S1E411 Aug 20160
Willie-ColA-n,No Me Llores Mas,,Black Mass17 Sep 20150
Willie-ColA-n,Hustler,,Chef8 May 20142
Willie-ColA-n,La Murga,,Cuban Fury10 Apr 20140
Greenwood-Rhythm-Coalition,Rise Up,"0:18Red lays out his plan involving Jean-Phillipe, the building security feeds and an elevator explosion; Ressler mentions to Samar why Aram may have expected a different reaction when he gave her his grandmother's ring.",The Blacklist • S5E1810 Apr 20180
Greenwood-Rhythm-Coalition,Tabaco y Ron,,Chef8 May 20141
Roberto-Roena,Que Se Sepa,Song that plays when Martin cooks the pork,Chef8 May 20143
Nickodemus-and-Quantic,Mi Swing Es Tropical (feat. Tempo & The Candela Allstars),1:24El Jefe driving montage right after South Beach cop.,Chef8 May 20143
Rebirth-Brass-Band,The Dilemma,,Tall Girl12 Sep 20190
Rebirth-Brass-Band,Your Mama Don't Dance,"0:06Mardi Gras celebrations take place in the street, as Marcel tries to convince Hope give up on   saving Klaus.",The Originals • S5E1331 Jul 20181
Rebirth-Brass-Band,Do Watcha Wanna (Part 2),,Girls Trip20 Jul 20170
Rebirth-Brass-Band,"Do Whatcha Wanna, Pt. 2",,Girls Trip20 Jul 20170
Rebirth-Brass-Band,Remember When,0:12Jesse tells Tulip he has a good feeling about New Orleans; montage of New Orleans.,Preacher • S2E32 Jul 20170
Rebirth-Brass-Band,What Are We Gonna Do? / Banner Man (feat. Javon Carter),1:07,Fargo • S3E86 Jun 20170
Rebirth-Brass-Band,I Like It Like That,0:15,Fargo • S3E118 Apr 20173
Rebirth-Brass-Band,Exactly Like You,,The Good Fight • S1E618 Mar 20170
Rebirth-Brass-Band,Do Whatcha Wanna,,Queen Sugar • S1E1329 Nov 20160
Rebirth-Brass-Band,When the Saints Go Marching In,,No Tomorrow • S1E317 Oct 20160
Rebirth-Brass-Band,I Ate Up the Apple Tree,0:30Music at Blue's birthday party.,Queen Sugar • S1E15 Sep 20162
Rebirth-Brass-Band,Do It Again,0:33The Japanese man starts betting with them at the game.,Focus26 Feb 20151
Rebirth-Brass-Band,Rebirth Makes You Dance (feat. Erica Falls),,The Originals • S2E426 Oct 20142
Rebirth-Brass-Band,Rebirth Groove,,The Originals • S2E426 Oct 20142
Rebirth-Brass-Band,"Oh, Didn't He Ramble",,Chef8 May 20141
Rebirth-Brass-Band,Bustin' Loose,1:23song that plays showing new orleans,Chef8 May 20142
Rebirth-Brass-Band,What Goes Around Comes Around,,The Originals • S1E1013 Jan 20143
Rebirth-Brass-Band,Why You Worried 'bout Me?,,The Originals • S1E1013 Jan 20144
Rebirth-Brass-Band,Do Whatcha Wanna,,The Vampire Diaries • S4E2024 Apr 20130
Hot-8-Brass-Band,Sexual Healing,jean catches Otis while he was masturbating in the car ,Sex Education • S2E116 Jan 20200
Hot-8-Brass-Band,Let Me Do My Thing,0:13Jess starts lifting at the carnival.,Focus26 Feb 20152
Hot-8-Brass-Band,Sexual Healing,Song Carl and Martin sing while going to Austin,Chef8 May 20146
Louie-Ramirez,Ali Baba,Percy watches his first Cubano Sandwich,Chef8 May 20141
Ronnie-Hudson-And-The-Street-People,West Coast Poplock,Opening scene Franklin stops two kids stealing candy; Franklin talks to Leon & Kevin.,Snowfall • S1E14 Jul 20170
Ronnie-Hudson-And-The-Street-People,West Coast Poplock,1:39song introducing L.A. food trucks,Chef8 May 20141
Gente-de-Zona,La Fiesta No Se Ha Acabado,,Overboard3 May 20182
Gente-de-Zona,Homenaje al Beny (Castellano Que Bueno Baila Usted),,The Do Over25 May 20161
Gente-de-Zona,Homenaje Al Beny (Castellano Que Bueno Baila Usted),1:19When Martin introduces the newly painted truck,Chef8 May 20141
Claude-FranA-ois,Douche Candy,,The Walk29 Sep 20150
Claude-FranA-ois,Stop au nom de l'amour,Paris Intro,X-Men: Days of Future Past22 May 20140
Harry-Bluestone,Jazz Club Blues,,The Occupant (Hogar)24 Mar 20200
Harry-Bluestone,Train Ambush,,Sicario1 Oct 20150
Harry-Bluestone,King Cotton,,X-Men: Days of Future Past22 May 20140
Harry-Bluestone,Away in a Manger,"0:47Charlie's brother, Chris, returns home.",The Perks of Being a Wallflower20 Sep 20120
John-Ottman-Nolan-Livesay-Alexander-Rudd-and-Jason-Livesay,I Have Faith in You - Goodbyes,,X-Men: Days of Future Past22 May 20141
John-Ottman-Nolan-Livesay-Alexander-Rudd-and-Jason-Livesay,The Future - Main Titles,,X-Men: Days of Future Past22 May 20142
