artist,song_title,use,show
12-Gauge,Dunkie Butt,,Dodgeball: A True Underdog Story7 Dec 20042
Dennis-De-Young,Mr. Roboto,,Dodgeball: A True Underdog Story7 Dec 20040
Dennis-De-Young,Mr. Roboto,,Fun with Dick and Jane29 Nov 20040
Dowd-Beal,Donkey Competition Mix,,Dodgeball: A True Underdog Story7 Dec 20040
New-Edition,If It Isn't Love,,Girls Trip20 Jul 20170
New-Edition,If It Isn't Love,,Girls Trip20 Jul 20170
New-Edition,Can You Stand the Rain,,Master of None • S2E811 May 20170
New-Edition,Candy Girl,,Crashing • S1E625 Mar 20170
New-Edition,Cool It Now,0:05The counselors discuss having a night out at The Plaza; Joel announces who has to work that night; Cricket suggests to Alex he should stop by the art cabin.,Dead Of Summer • S1E311 Jul 20160
New-Edition,Cool It Now,0:28End credits song.,Master of None • S1E15 Nov 20151
New-Edition,Can You Stand the Rain,,The Best Man Holiday14 Nov 20130
New-Edition,Candy Girl,,Dogma29 Nov 19980
Perry-Como,Catch a Falling Star,,Hollywood • S1E130 Apr 20200
Perry-Como,There Is No Christmas Like a Home Christmas,,Kidding • S2E18 Feb 20200
Perry-Como,Do You Hear What I Hear?,,Prodigal Son • S1E101 Dec 20190
Perry-Como,Hot Diggity (Dog Ziggity Boom),0:34The Doom Patrol talk about their last encounter with Morden and everyone going crazy.,Doom Patrol • S1E621 Mar 20190
Perry-Como,(There's No Place Like) Home for the Holidays,"0:03Zelda complains about Sabrina calling their tree a Christmas tree; Sabrina and Hilda decorate the tree, then the family gathers to light the yule log.",Chilling Adventures Of Sabrina • S1E1113 Dec 20180
Perry-Como,I'm Confessin' That I Love You,,The Marvelous Mrs. Maisel • S2E94 Dec 20180
Perry-Como,"Sunrise, Sunset","1:25David’s children are playing on the swing set. Karen is painting in her room. David is typing on his computer. David and Karen takes the kids to their school, they ask for Nic.",Beautiful Boy8 Nov 20181
Perry-Como,Papa Loves Mambo,"0:17St Louis, MO - The Nuclear family hangout in their kitchen on a Saturday morning, as their doorbell rings and a guy drops off an activation package; Nuclear Mom hands out injections.",Titans • S1E218 Oct 20180
Perry-Como,Catch a Falling Star,,Mr Mercedes • S2E121 Aug 20180
Perry-Como,It's Impossible,0:11Song in the car as they drive out to find some new clothes for Camille and Amma. ,Sharp Objects • S1E54 Aug 20181
Perry-Como,It's Impossible,,Succession • S1E104 Aug 20180
Perry-Como,Papa Loves Mambo,,The Marvelous Mrs. Maisel • S1E228 Nov 20170
Perry-Como,Magic Moments,,GLOW • S1E922 Jun 20170
Perry-Como,Catch a Falling Star,,Feud • S1E14 Mar 20170
Perry-Como,Magic Moments,0:37When walter is showing the horsemen how they got to macau,Now You See Me 29 Jun 20160
Perry-Como,Silent Night,,Krampus3 Dec 20150
Perry-Como,Papa Loves Mambo,1:42First song during end credits.,Red 218 Jul 20131
Perry-Como,Feelings,Walter sneaks out after making breakfast for Peter & Olivia.,Fringe • S3E1418 Feb 20110
Perry-Como,Papa Loves Mambo,Jill & Chuck arrive at the restaurant.,Chuck • S2E610 Nov 20081
Perry-Como,There Is No Christmas Like A Home Christmas,0:54Melvin Belli talks with Detectives Toschi and Armstrong about the letters he had received from the Zodiac killer.,Zodiac29 Nov 20060
Perry-Como,Magic Moments,0:01First Song. Christmas turkey curry buffet lunch. ,Bridget Jones: The Edge of Reason18 Nov 20041
Perry-Como,It's Beginning to Look Like Christmas,0:58The trio arrives at the gift wrapping factory.,The Polar Express10 Nov 20040
Perry-Como,It's Beginning to Look Like Christmas,,The Polar Express10 Nov 20040
Perry-Como,Magic Moments,Sung by the party guests at Emily &amp; Richard's.,Gilmore Girls • S3E1929 Apr 20030
Perry-Como,Catch a Falling Star,,Love Actually29 Nov 20020
Perry-Como,Papa Loves Mambo,,Ocean's Eleven6 Dec 20010
Perry-Como,Papa Loves Mambo,0:15Reuben goes over the most successful casino robberies.,Ocean's Eleven6 Dec 20012
Perry-Como,Magic Moments,,Two Weeks Notice29 Nov 20010
Perry-Como,Magic Moments,Bridget arrives at her mothers home for a Christmas gathering. ,Bridget Jones's Diary12 Apr 20010
Perry-Como,"It's Been a Long, Long Time",,Blast from the Past11 Feb 19990
Perry-Como,It's a Good Day,Eve drives Adam to Holiday Inn,Blast from the Past11 Feb 19990
Perry-Como,Like Someone In Love,,Blast from the Past11 Feb 19990
Perry-Como,Ac-cent-tchu-ate the Positive,The Song Played During The Opening Credits,Blast from the Past11 Feb 19990
Perry-Como,Round and Round,The Song Played The Lyrics And Sing Along,Blast from the Past11 Feb 19990
Perry-Como,Magic Moments,,Dogma29 Nov 19980
Perry-Como,Catch a Falling Star,The First Song During At The Begining,Never Been Kissed29 Nov 19980
