artist,song_title,use,show
Little-Anthony-and-The-Imperials,Tears On My Pillow,,Gangs of London • S1E222 Apr 20200
Little-Anthony-and-The-Imperials,"Shimmy, Shimmy, Ko-Ko-Bop",,The Pale Horse • S1E18 Feb 20200
Little-Anthony-and-The-Imperials,Goin' Out of My Head,,Mr Mercedes • S3E19 Sep 20190
Little-Anthony-and-The-Imperials,Goin' Out of My Head,0:59Clifford and Marlize dance together.,The Flash • S4E135 Feb 20184
Kara-Marni,Golden,0:03Anissa drives to work when she spots two of her students being sold drugs and pulls over.,Black Lightning • S1E45 Feb 20180
Greyhounds,What's On Your Mind,"0:58Trish and Roger sleep in separate rooms; Riggs puts on his hotel robe and walks out on to the beach, then is about to go skinny dipping when Ruth drives up in her camper.",Lethal Weapon • S2E155 Feb 20180
Shredtvt,Unstoppable,0:16Jennifer helps Khalil at physical therapy.,Black Lightning • S1E45 Feb 20180
Trapo,Stop Me,,The Chi • S2E213 Apr 20190
Trapo,Stop Me,0:30Jefferson returns to the bar as Black Lighting and takes out Two-bits goons.,Black Lightning • S1E45 Feb 20180
INGRID,Flex (feat. Sevyn Streeter),0:38Montage as Tori drives around the city; Tobais feeds his piranhas a rat when Tori arrives to his home.,Black Lightning • S1E45 Feb 20180
R-MEAN-and-Mitch-Littlez,Showing Off,0:51Jennifer arrives to Khalil hospital room to find that he's been gifted with a number of items from an anonymous donor among other things.,Black Lightning • S1E45 Feb 20180
Nouvellas,Don't Count On Me,"0:56At Pop's diner, Alice waits with Betty and Jughead when F.P. arrives at the diner, he assures them that the body is taken care of and that the order ends their; Chic cuts out Hal from a picture then burns it.",Riverdale • S2E136 Feb 20180
Heaven,It's Not Enough,,Good Trouble • S1E214 Jan 20190
Heaven,Bizarre Love Triangle,0:01.....,Dynasty • S1E136 Feb 20180
Heaven,Falling Hearts,0:08Jughead informs the Serpents that FP is being released from jail.,Riverdale • S2E85 Dec 20171
Perk-Pietrek,Busy Gyal (feat. Rocky Rivera),0:03Olive walks to her apartment.,Tone-deaf23 Aug 20190
Perk-Pietrek,Busy Gyal (feat. Rocky Rivera),0:32.....,Dynasty • S1E136 Feb 20180
Perk-Pietrek,Busy Gyal (feat. Rocky Rivera),"0:22Briefly plays as James' Father, Greg, changes channels and comes across a dance video.",Brigsby Bear28 Jul 20171
Ariel-Beesley,You Always Knew,0:01Liam sees a couple kissing and sees them as himself kissing Fallon.,Dynasty • S3E614 Nov 20190
Ariel-Beesley,Slower Than Usual,0:33.....,Dynasty • S1E136 Feb 20181
