artist,song_title,use,show
Alter-Egos,Smack That Booty ,0:29Riley starts a game of 'Around The World'; Holden and Jamie kiss. ,Beyond • S1E21 Jan 20170
Christian-Cambas,Ascension ,"0:31Holden freaks out when he sees visions of Arthur, then he starts hallucinating on the way to the bathroom.",Beyond • S1E21 Jan 20170
Dog-Fight,Reflecktor ,0:33A guy starts banging on the bathroom door; Luke asks Riley she has seen Holden; continues as Luke searches the party for Holden as lights start to explode.,Beyond • S1E21 Jan 20170
Daye-Jack,Raw,0:46Hardin gets into a fight ,After11 Apr 20194
Daye-Jack,Save My Soul,0:14Olivia tells Spencer about the high school; Spencer takes notice of Layla.,All American • S1E19 Oct 20180
Daye-Jack,Raw,0:54One of Lala's lieutenants betrays him; Lala orders his other lieutenants to sell the drugs he acquired in two weeks.,Black Lightning • S1E1026 Mar 20180
Daye-Jack,Finish Line,Song at the party at the start of the episode.,On My Block • S1E115 Mar 20181
Daye-Jack,Raw,,Power • S4E415 Jul 20170
Daye-Jack,Supernatural (feat. Donmonique),,American Crime • S3E325 Mar 20170
Daye-Jack,Deep End,"0:16Ophelia and Jules start freaking out, then tell the guys they're heading upstairs to deal with stomach issues.",Sweet/Vicious • S1E62 Jan 20170
Jack-Red,Coca,"0:20Nate sees the picture that Jules posted of herself and Tyler, then he looks across the street to Vinylton.",Sweet/Vicious • S1E62 Jan 20170
Childish-Gambino,Redbone,,Summertime • S1E328 Apr 20200
Childish-Gambino,3005,0:224 Years Earlier - Mark' s powers almost cause him to crash his truck with Dion in the backseat; [0:32] repeats as Nicole drives the kids home as Dion and Esperanza start singing along to the stereo.,Raising Dion • S1E53 Oct 20190
Childish-Gambino,Summertime Magic,,Bull • S4E229 Sep 20190
Childish-Gambino,All the Shine,,Queen Sugar • S4E111 Jun 20190
Childish-Gambino,Summertime Magic,"0:01Devon and Priya discuss their wedding plans as they walk their dog; Nic and Conrad grill out when Nic receives a text from one of the nurses at the hospital, Conrad quickly reminds her that their suppose off of work and reminds her with a kiss.",The Resident • S2E230 Sep 20180
Childish-Gambino,Have Some Love,,Game Over Man22 Mar 20181
Childish-Gambino,Baby Boy,,"Roman J. Israel, Esq.17 Nov 20170"
Childish-Gambino,Redbone,,Star • S2E417 Oct 20170
Childish-Gambino,Zombies,0:39Liv goes to Tatum's house and finds a phone with text messages indicating that Discovery Day is imminent.  ,iZombie • S3E1326 Jun 20170
Childish-Gambino,III. Life: The Biggest Troll [Andrew Auernheimer],,Skam • S4E625 May 20170
Childish-Gambino,Terrified,,Dear White People • S1E327 Apr 20171
Childish-Gambino,Redbone,,Dear White People • S1E227 Apr 20172
Childish-Gambino,Redbone,"0:05Chris is shaving his face in the mirror, while Rose is on the way to his apartment.",Get Out23 Feb 201715
Childish-Gambino,Bonfire,"0:37With the police chasing her, Ophelia busts into Chase's room, tazes him and slashes his arm; the police arrive and arrest him.",Sweet/Vicious • S1E62 Jan 20170
Bangs,Fast Easy Love,,Looking for Alaska • S1E217 Oct 20190
Bangs,I Want More,,The Tick • S2E35 Apr 20190
Bangs,Nerves,0:41Jules shoves Nate against a wall and confronts him about the rape and how it's affected her.,Sweet/Vicious • S1E62 Jan 20170
Pearls-Before-Swine,I Shall Not Care,0:27Benny's Diner: Benny makes burgers; sits down with Eleven to talk,Stranger Things • S1E114 Jul 20166
Dan-Bierton-and-Charlie-Waddington,Think,Yang asks Bailey to be removed from psychic's case.  Izzie offers to take it.,Grey's Anatomy • S1E815 May 20050
Trevor-Dayn-Dallas,Ready for It All,"0:14Malia wakes up in the woods after her vision; Hayden and Theo kiss in the school hallway, then enact their plan to steal supplies.",Teen Wolf • S6E62 Jan 20170
Mishcatt,Devil's Sugar,0:15Laird takes Stephanie family on a tour around his house.,Why Him?22 Dec 20160
Fully-Fuller,Quando Chega a Manha,0:21Ned and his family are having dinner with Laird.,Why Him?22 Dec 20160
Like-Yeah,Lucky Lucky,0:42Laird is talking to Gustav on how Ned does not want to give his blessings to him.,Why Him?22 Dec 20160
Denny-Chew-and-The-Asian-Players,Deck The Halls,,Why Him?22 Dec 20160
Autoerotique-and-Max-Styler,Badman (Torro Torro Remix),0:50Barb tells Ned about Laird's childhood life.,Why Him?22 Dec 20161
Without,Your Love,0:51Laird introduces his firends to Ned and his wife.,Why Him?22 Dec 20160
Boehm,Swallow My Pride (feat. Molly Moore) [Viceroy Remix],"0:56Outside the party, Ned asks Stephanie why she chose him as her boyfriend.",Why Him?22 Dec 20161
Jonathan-Pakfar-and-Shane-Eli,Bacdafucup,1:20Played when Dingle's computer gets hacked.,Why Him?22 Dec 20160
The-Gay-Men-s-Chorus-of-Los-Angeles,Silent Night,1:21First song that The Gay Men's Chorus of Los Angeles performs at Laird's house. Ned confronts Stephanie about her decision on dropping out of college.,Why Him?22 Dec 20160
The-Gay-Men-s-Chorus-of-Los-Angeles,Deck the Halls,1:23 Second song that The Gay Men's Chorus of Los Angeles performs at Laird's house. Laird tells Ned that he has bought all the debt from his company.,Why Him?22 Dec 20160
The-Gay-Men-s-Chorus-of-Los-Angeles,Jingle Bells,1:24 Third song that The Gay Men's Chorus of Los Angeles performs at Laird's house. Ned punches Laird in response for removing all his debt.,Why Him?22 Dec 20160
Scott-Chesak-and-Thomas-Hien,Crazy Beautiful Life,"1:28Outside Lairds house, Ned feels guilty for his behavior.",Why Him?22 Dec 20160
Gene-Simmons-Paul-Stanley,First Noel,1:44Gene Simmons and Paul Stanley from the band KISS performs this song at Ned's house.,Why Him?22 Dec 20160
