artist,song_title,use,show
Ana-Johnsson,We Are (Video Version),,Spider-Man 229 Jun 20040
Midtown,Give It Up,Nathan &amp; Lucas watch the basketball game.,One Tree Hill • S2E89 Nov 20040
Midtown,Give It Up,,Spider-Man 229 Jun 20040
Arcade-Fire,Wake Up,,Money Heist (La Casa de Papel) • S4E72 Apr 20200
Arcade-Fire,Une année sans lumière,"0:33Doc recommends their old game in the video store, after briefly running into Beans. Cuts to end credits and Ian pitching his game.",Mythic Quest: Raven's Banquet • S1E56 Feb 20200
Arcade-Fire,My Body Is a Cage,,Euphoria • S1E83 Aug 20190
Arcade-Fire,Sprawl II (Mountains Beyond Mountains),,Stuber11 Jul 20190
Arcade-Fire,Baby Mine,,Dumbo28 Mar 20191
Arcade-Fire,Baby Mine,,Dumbo28 Mar 20190
Arcade-Fire,Deep Blue,2:40After Mason says 'the moments are constant'. Plays into end credits.,Boyhood10 Jul 20143
Arcade-Fire,Suburban War,2:00Song playing in the car as Mason talks to Sheena about Facebook and cyborgs.,Boyhood10 Jul 20146
Arcade-Fire,When You Know You're Gonna Die,"0:03Theodore tells his phone to play a melancholy song.
",Her9 Jan 20142
Arcade-Fire,Dimensions,1:54Theodore arrives at Amy's apartment. They then go to the roof of their apartment building where they sit down together and watch the sun rise over the city.,Her9 Jan 20143
Arcade-Fire,Supersymmetry,0:10Instrumental version when Theodore and his OS Samantha go out together. Again during the end credits.,Her9 Jan 20145
Arcade-Fire,Wake Up,0:36Walter decides to leave to find print 25. He runs past all the Life posters and heads to the airport.,The Secret Life Of Walter Mitty24 Dec 20132
Arcade-Fire,Abraham's Daughter,2:13First song during the end credits.,The Hunger Games22 Mar 20122
Arcade-Fire,Cold Wind,Claire heads home on the bus; Brenda gives birth.,Six Feet Under • S5E1114 Aug 20050
Arcade-Fire,Rebellion (Lies),Nate & Brenda argue in the hallway; repeated during the end credits.,Six Feet Under • S5E427 Jun 20050
Olafur-Arnalds-and-Nils-Frahm,Þú Ert Jörðin,,Rectify • S4E813 Dec 20160
Olafur-Arnalds-and-Nils-Frahm,Four,,The Grand Tour • S1E224 Nov 20160
Olafur-Arnalds-and-Nils-Frahm,Sudden Throw,,Containment • S1E813 Jun 20160
Olafur-Arnalds-and-Nils-Frahm,Near Light,,The Originals • S2E716 Nov 20143
Olafur-Arnalds-and-Nils-Frahm,This Place Is a Shelter,,The Originals • S2E15 Oct 20145
Olafur-Arnalds-and-Nils-Frahm,Sudden Throw,,The Originals • S1E12 Oct 20134
Olafur-Arnalds-and-Nils-Frahm,Allt VarÃ° HljÃ³tt,1:29Katniss hallucinates through the woods and begins to receive flashbacks after being stung by a tracker jacker.,The Hunger Games22 Mar 20120
Olafur-Arnalds-and-Nils-Frahm,ÃžÃº Ert JÃ¶rÃ°in,,Teen Wolf • S1E817 Jul 20112
Mark-Wahlberg-and-Seth-MacFarlane,Thunder Buddies,0:19John and Ted sing the song during a thunderstorm.,Ted28 Jun 20120
Maxwell-D,Soldier (ft. Ruwanga Samath),0:50Ted tries to get John to come to the his apartment because Sam Jones is at the party.,Ted28 Jun 20120
Scream,Get Free,0:54Sam finishes making John and Ted snort cocaine in the bathroom.,Ted28 Jun 20120
Thomas-Newson,Song for the Young Folk,,Ted28 Jun 20120
The-High-Decibels,That Dude,,Shameless • S10E323 Nov 20191
The-High-Decibels,No Time to Burn,0:40Max and Lucas buys painkillers as Thor attempts to steal liquor.,Good Boys15 Aug 20190
The-High-Decibels,Cut Loose,0:07Spencer receives a text from Coop apologizingfor missing the game; Asher has dinner with Layla and her father.,All American • S1E627 Nov 20180
The-High-Decibels,Duke Gonna Get Em,,Mr Mercedes • S2E228 Aug 20180
The-High-Decibels,Cut Loose,Music as they start training for the MLB's. ,Pitch • S1E526 Oct 20160
The-High-Decibels,Like This ,,Central Intelligence16 Jun 20161
The-High-Decibels,This Is Me,0:35,Shameless • S5E914 Mar 20150
The-High-Decibels,Cut Loose,,Shameless • S5E914 Mar 20150
The-High-Decibels,Miss Cindy,0:13Second song as the DJ's meet Abbie after she comes out of the bathroom.,Broad City • S1E518 Feb 20140
The-High-Decibels,Let's Go,1:13Song plays while Jeff Chang drives home after getting out of the hospital.,21 And Over28 Feb 20131
The-High-Decibels,Get Juiced,Dixon interrupts Adrianna while she's listening to music so he can introduce her to Rand.,90210 • S5E1310 Feb 20130
The-High-Decibels,Sexy Little Thing,0:56John and Ted get Sam to punch a wall.,Ted28 Jun 20120
The-High-Decibels,Miss Cindy,0:23Jules plays this song at the cabin as they start to drink.,The Cabin in the Woods11 Apr 20120
The-High-Decibels,Miss Cindy,Naomi sets up for her 'Strip The Vote' party and fails to send Austin on an errand.,90210 • S4E510 Oct 20110
The-High-Decibels,Cut Loose,Flashback to the girls having a water-condom fight with Dave Navarro on the Clothes Over Bros roof.,One Tree Hill • S8E1225 Jan 20110
The-High-Decibels,Miss Cindy,0:02Principal walks down the school hall and sees the video of Rob.,American Pie Presents: Book of Love21 Dec 20090
Tiffany,I Think We're Alone Now (Re-Recorded),,Dead to Me • S2E67 May 20200
Tiffany,I Think We're Alone Now,"0:38The radio starts playing as Dex turns a corner, then she has a flashback to the war.",Stumptown • S1E124 Sep 20191
Tiffany,I Think We're Alone Now,,Blinded by the Light13 Aug 20190
Tiffany,I Think We're Alone Now,,Black Monday • S1E923 Mar 20190
